Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
KALE CLAGUEDL.A20-21,Kale Clague,D,L.A,20-21,Power Play,KALE CLAGUE,18,20202021,15.15,14.67%,34.94%,30.85%
CHRISTIAN WOLANINDOTT/L.A20-21,Christian Wolanin,D,OTT/L.A,20-21,Power Play,CHRISTIAN WOLANIN,18,20202021,21.51666667,21.87%,41.08%,41.07%
NICOLAS BEAUDINDCHI20-21,Nicolas Beaudin,D,CHI,20-21,Power Play,NICOLAS BEAUDIN,19,20202021,23.71666667,23.40%,35.63%,48.53%
BOWEN BYRAMDCOL20-21,Bowen Byram,D,COL,20-21,Power Play,BOWEN BYRAM,19,20202021,13.36666667,11.88%,30.79%,30.96%
ALEX CARRIERDNSH20-21,Alex Carrier,D,NSH,20-21,Power Play,ALEX CARRIER,19,20202021,7.05,10.13%,39.35%,37.22%
STEVEN KAMPFERDBOS20-21,Steven Kampfer,D,BOS,20-21,Power Play,STEVEN KAMPFER,20,20202021,15.15,13.60%,37.63%,33.25%
TREVOR VAN RIEMSDYKDWSH20-21,Trevor Van Riemsdyk,D,WSH,20-21,Power Play,TREVOR VAN RIEMSDYK,20,20202021,5.15,5.37%,27.93%,17.04%
MICHAEL STONEDCGY20-21,Michael Stone,D,CGY,20-21,Power Play,MICHAEL STONE,21,20202021,7.65,7.96%,32.98%,27.10%
WYATT KALYNUKDCHI20-21,Wyatt Kalynuk,D,CHI,20-21,Power Play,WYATT KALYNUK,21,20202021,22.98333333,19.09%,35.46%,35.13%
WILL BUTCHERDN.J20-21,Will Butcher,D,N.J,20-21,Power Play,WILL BUTCHER,23,20202021,31.2,29.21%,39.48%,48.25%
JAMIE DRYSDALEDANA20-21,Jamie Drysdale,D,ANA,20-21,Power Play,JAMIE DRYSDALE,24,20202021,44.55,51.94%,37.28%,41.95%
