"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"326","Jacob Trouba","NYR","D","25","36.883333333333","1.4753333333333","-25.37","-4.86","1.39","-24.88","-5.32","1.85","-23.74","-2.85","-2.09","-8.19","0.46","-87.50","-1.77","0.05","-1.96","-13.6","0.91","-3.44","-6.09","2.08","-10.73","-4.09","0.46","-77.78","-10.02","-1.56","3.92","-3.9","0","-100.00","-15.97","-2.06","0.95","-1.69","0","-100.00","0.00","75.00","0.750","19.52","4.88","1.63","61.82","92.31","29.28","6.51","3.25","90.00"
"812","Lucas Raymond","DET","L","2","6.5333333333333","3.2666666666667","51.95","-4.93","14.29","33.58","-4.93","11.90","47.7","-2.47","15.00","18.37","0","-","3.66","-0.22","7.94","50.17","-11.65","33.33","15.9","0","0.00","0","0","-","45.69","-15.53","50.00","24.49","0","100.00","2.58","26.53","-33.33","0","0","-","22.22","100.00","1.222","45.92","9.18","0","9.18","100.00","64.29","9.18","0","100.00"
"682","Jesper Boqvist","N.J","C","17","7.6666666666667","0.45098039215686","-29.12","-4.96","0.72","-20.8","-4.96","0.92","-16.48","-4.96","-0.76","-3.2","7.83","-100.00","-3.53","-0.16","-11.82","-42.35","0.63","-85.48","-11.99","-3.2","-","-0.8","0","-","-40.49","5.11","-88.37","-1.07","10.43","-100.00","21.42","-3.46","5.66","-2.31","0","-100.00","0.00","0.00","0.000","31.3","0","0","62.61","100.00","31.3","0","7.83","80.00"
"3","Patrick Marleau","S.J","C","28","22.466666666667","0.80238095238095","-37.13","-4.98","-0.88","-29.05","-2.57","-3.52","-36.22","-0.77","-14.80","-0.68","2.07","-24.24","-3.1","1.26","-24.98","-14.61","6.46","-17.92","-8","5.6","-31.43","-1.55","2.07","-37.50","-8.81","1.15","-5.83","-2.41","0","-100.00","-25.57","-6.96","8.42","3.86","0","100.00","22.22","75.00","0.972","16.02","0","5.34","64.09","75.00","24.04","5.34","10.68","69.23"
"789","Moritz Seider","DET","D","2","6.55","3.275","-11.06","-5.06","1.82","-29.38","-5.06","-2.22","5.68","-2.53","4.17","18.32","0","-","0.62","-0.22","3.41","29.06","-11.69","25.00","15.79","0","0.00","0","0","-","17.69","-15.58","33.33","24.43","0","100.00","-57.95","26.46","-50.00","0","0","-","28.57","100.00","1.286","36.64","9.16","0","18.32","100.00","64.12","9.16","0","100.00"
"158","Ryan Ellis","NSH","D","16","34.183333333333","2.1364583333333","-18.12","-5.15","1.86","-19.03","-3.17","0.00","-15.4","-2.94","0.70","-0.45","-2.49","25.00","0","-0.45","5.06","-9.23","-8.95","12.58","-0.11","-3.23","11.36","1.53","-2.49","40.00","-12.16","-7.63","13.08","-3.32","0","-100.00","-20.45","2.21","-4.46","-1.8","0","-100.00","15.38","100.00","1.154","24.57","12.29","3.51","31.59","87.50","43.88","15.8","7.02","86.21"
"677","Cody Glass","VGK","C","13","32.016666666667","2.4628205128205","-23.22","-5.23","0.78","-12.57","0.54","-3.21","-12.62","-3.2","1.07","-2.37","0","0.00","-0.41","0.64","-10.96","-17.4","1.38","-8.57","-0.99","2.22","-13.89","-0.84","0","0.00","-21.89","-1.12","-5.13","-2.04","0","-100.00","-4.98","-1.21","0.98","0","0","-","9.52","100.00","1.095","29.98","1.87","0","26.24","100.00","54.35","9.37","1.87","96.67"
"149","Alex Chiasson","EDM, VAN","R","25","67.633333333333","2.7053333333333","15.13","-5.31","5.46","27.41","-4.55","8.18","21.7","-4.18","9.45","-1.51","0.89","-6.67","2.92","-0.69","10.21","11.18","-1.39","3.60","6.85","-0.25","3.89","-0.12","0","0.00","5.77","-1.52","3.68","3.04","1.18","-20.00","9.36","-6.04","9.26","-5.3","0","0.00","16.87","90.91","1.078","38.15","5.32","0","7.98","100.00","59.44","10.65","0.89","98.53"
"746","Nicolas Beaudin","CHI","D","8","13.4","1.675","-5.91","-5.33","3.89","5.68","-6.68","11.90","-3.06","-5.12","6.81","-3.34","0","0.00","0.74","-1","19.14","1.42","-7.82","18.52","3.84","-4.69","25.00","-1.78","0","0.00","-3.23","-4.17","13.33","-2.09","0","-100.00","-3.8","10.37","-17.50","0","0","-","14.29","100.00","1.143","26.87","4.48","0","13.43","100.00","62.69","8.96","0","100.00"
"691","Robert Thomas","STL","C","18","23.933333333333","1.3296296296296","-37.02","-5.37","2.28","-32.06","-5.37","2.47","-31.27","-6.58","5.41","-4.07","-1.3","12.50","-3.03","-0.23","1.50","-23.83","-1.39","0.24","-3.13","-1.3","6.67","-1.3","0","-","-27.61","-0.12","-2.22","-3.7","-1.73","14.29","-26.29","-3.75","4.44","0","0","-","12.50","100.00","1.125","17.55","2.51","0","52.65","100.00","37.6","2.51","0","100.00"
