Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
KYLE BURROUGHSDCOL20-21,Kyle Burroughs,D,COL,20-21,Even Strength,KYLE BURROUGHS,5,20202021,47.6,19.87%,27.59%,24.57%
THOMAS HICKEYDNYI20-21,Thomas Hickey,D,NYI,20-21,Even Strength,THOMAS HICKEY,5,20202021,80.85,31.23%,27.70%,27.09%
JACOB BERNARD-DOCKERDOTT20-21,Jacob Bernard-docker,D,OTT,20-21,Even Strength,JACOB BERNARD-DOCKER,5,20202021,66.15,26.35%,26.94%,25.15%
BEN THOMASDT.B20-21,Ben Thomas,D,T.B,20-21,Even Strength,BEN THOMAS,5,20202021,68.3,29.65%,28.22%,27.69%
VILLE HEINOLADWPG20-21,Ville Heinola,D,WPG,20-21,Even Strength,VILLE HEINOLA,5,20202021,72,30.18%,27.40%,27.04%
SIMON BENOITDANA20-21,Simon Benoit,D,ANA,20-21,Even Strength,SIMON BENOIT,6,20202021,92.91666667,29.77%,28.57%,27.15%
BRANDON DAVIDSONDBUF20-21,Brandon Davidson,D,BUF,20-21,Even Strength,BRANDON DAVIDSON,6,20202021,84.16666667,27.73%,28.56%,27.07%
CONNOR MACKEYDCGY20-21,Connor Mackey,D,CGY,20-21,Even Strength,CONNOR MACKEY,6,20202021,67.43333333,25.22%,27.57%,26.47%
XAVIER OUELLETDMTL20-21,Xavier Ouellet,D,MTL,20-21,Even Strength,XAVIER OUELLET,6,20202021,82.83333333,26.53%,28.03%,26.45%
TONY DEANGELODNYR20-21,Tony Deangelo,D,NYR,20-21,Even Strength,TONY DEANGELO,6,20202021,89.68333333,29.84%,27.72%,27.22%
NATE PROSSERDPHI20-21,Nate Prosser,D,PHI,20-21,Even Strength,NATE PROSSER,6,20202021,71.91666667,24.36%,28.03%,26.80%
FREDRIK CLAESSONDS.J/T.B20-21,Fredrik Claesson,D,S.J/T.B,20-21,Even Strength,FREDRIK CLAESSON,6,20202021,69.61666667,24.22%,27.44%,24.43%
SAMI NIKUDWPG20-21,Sami Niku,D,WPG,20-21,Even Strength,SAMI NIKU,6,20202021,76.15,25.92%,28.56%,27.87%
JORDAN GROSSDARI20-21,Jordan Gross,D,ARI,20-21,Even Strength,JORDAN GROSS,7,20202021,90.26666667,25.45%,28.21%,28.04%
KEVIN CONNAUTONDFLA20-21,Kevin Connauton,D,FLA,20-21,Even Strength,KEVIN CONNAUTON,7,20202021,95.61666667,27.89%,28.25%,27.07%
MATT KIERSTEDDFLA20-21,Matt Kiersted,D,FLA,20-21,Even Strength,MATT KIERSTED,7,20202021,98.86666667,28.40%,27.95%,26.99%
KEVIN BAHLDN.J20-21,Kevin Bahl,D,N.J,20-21,Even Strength,KEVIN BAHL,7,20202021,110.1666667,30.39%,28.33%,26.26%
CHRISTIAN JAROSDS.J20-21,Christian Jaros,D,S.J,20-21,Even Strength,CHRISTIAN JAROS,7,20202021,75.91666667,22.60%,27.06%,25.72%
NICOLAS MELOCHEDS.J20-21,Nicolas Meloche,D,S.J,20-21,Even Strength,NICOLAS MELOCHE,7,20202021,64.75,18.73%,27.15%,24.95%
ANDREAS BORGMANDT.B20-21,Andreas Borgman,D,T.B,20-21,Even Strength,ANDREAS BORGMAN,7,20202021,81,23.39%,28.15%,26.04%
OLIVER KYLINGTONDCGY20-21,Oliver Kylington,D,CGY,20-21,Even Strength,OLIVER KYLINGTON,8,20202021,102.7166667,26.29%,26.98%,26.36%
JACK RATHBONEDVAN20-21,Jack Rathbone,D,VAN,20-21,Even Strength,JACK RATHBONE,8,20202021,106.1833333,28.34%,27.26%,26.10%
URHO VAAKANAINENDBOS20-21,Urho Vaakanainen,D,BOS,20-21,Even Strength,URHO VAAKANAINEN,9,20202021,152.2166667,33.14%,27.85%,26.62%
GAVIN BAYREUTHERDCBJ20-21,Gavin Bayreuther,D,CBJ,20-21,Even Strength,GAVIN BAYREUTHER,9,20202021,134.8666667,27.85%,28.16%,24.74%
MARK FRIEDMANDPIT/PHI20-21,Mark Friedman,D,PIT/PHI,20-21,Even Strength,MARK FRIEDMAN,9,20202021,96.96666667,21.44%,28.08%,26.59%
RASMUS SANDINDTOR20-21,Rasmus Sandin,D,TOR,20-21,Even Strength,RASMUS SANDIN,9,20202021,114.5166667,25.52%,28.10%,26.44%
WILLIAM BORGENDBUF20-21,William Borgen,D,BUF,20-21,Even Strength,WILLIAM BORGEN,10,20202021,145.3833333,28.60%,28.62%,26.96%
ZAC JONESDNYR20-21,Zac Jones,D,NYR,20-21,Even Strength,ZAC JONES,10,20202021,137.6,27.91%,28.12%,26.72%
ANDREW PEEKEDCBJ20-21,Andrew Peeke,D,CBJ,20-21,Even Strength,ANDREW PEEKE,11,20202021,184.3833333,31.00%,28.02%,26.27%
CONNOR CARRICKDN.J20-21,Connor Carrick,D,N.J,20-21,Even Strength,CONNOR CARRICK,11,20202021,191.2,33.42%,28.57%,26.50%
MATTIAS SAMUELSSONDBUF20-21,Mattias Samuelsson,D,BUF,20-21,Even Strength,MATTIAS SAMUELSSON,12,20202021,191.65,31.24%,28.77%,26.98%
SCOTT HARRINGTONDCBJ20-21,Scott Harrington,D,CBJ,20-21,Even Strength,SCOTT HARRINGTON,12,20202021,177.2666667,27.73%,28.20%,26.58%
LUCAS CARLSSONDCHI20-21,Lucas Carlsson,D,CHI,20-21,Even Strength,LUCAS CARLSSON,12,20202021,144.2,23.74%,28.90%,27.94%
BRAD HUNTDMIN20-21,Brad Hunt,D,MIN,20-21,Even Strength,BRAD HUNT,12,20202021,125.5833333,21.85%,28.29%,26.31%
CARL GUNNARSSONDSTL20-21,Carl Gunnarsson,D,STL,20-21,Even Strength,CARL GUNNARSSON,12,20202021,140.9833333,23.64%,27.98%,26.96%
ANDY WELINSKIDANA20-21,Andy Welinski,D,ANA,20-21,Even Strength,ANDY WELINSKI,13,20202021,177.1,27.70%,28.58%,27.38%
JOSH MAHURADANA20-21,Josh Mahura,D,ANA,20-21,Even Strength,JOSH MAHURA,13,20202021,200.5166667,30.62%,27.90%,27.43%
JAKE MCCABEDBUF20-21,Jake Mccabe,D,BUF,20-21,Even Strength,JAKE MCCABE,13,20202021,215.8666667,32.56%,28.58%,27.52%
GREG PATERYNDCOL/MIN/S.J20-21,Greg Pateryn,D,COL/MIN/S.J,20-21,Even Strength,GREG PATERYN,13,20202021,151.8333333,24.34%,28.01%,25.32%
ALEX BIEGADDET20-21,Alex Biega,D,DET,20-21,Even Strength,ALEX BIEGA,13,20202021,124.0333333,18.59%,28.33%,26.70%
GUSTAV LINDSTROMDDET20-21,Gustav Lindstrom,D,DET,20-21,Even Strength,GUSTAV LINDSTROM,13,20202021,187.3833333,27.69%,28.55%,26.31%
AUSTIN STRANDDL.A20-21,Austin Strand,D,L.A,20-21,Even Strength,AUSTIN STRAND,13,20202021,172.8333333,27.09%,28.15%,26.13%
JACK JOHNSONDNYR20-21,Jack Johnson,D,NYR,20-21,Even Strength,JACK JOHNSON,13,20202021,193.8166667,31.06%,27.90%,25.87%
GABRIEL CARLSSONDCBJ20-21,Gabriel Carlsson,D,CBJ,20-21,Even Strength,GABRIEL CARLSSON,14,20202021,197.7666667,27.80%,28.40%,27.17%
EVAN BOUCHARDDEDM20-21,Evan Bouchard,D,EDM,20-21,Even Strength,EVAN BOUCHARD,14,20202021,192,28.66%,28.36%,26.62%
ANTHONY BITETTODNYR20-21,Anthony Bitetto,D,NYR,20-21,Even Strength,ANTHONY BITETTO,14,20202021,187.5833333,28.29%,27.75%,25.86%
JONAS SIEGENTHALERDN.J/WSH20-21,Jonas Siegenthaler,D,N.J/WSH,20-21,Even Strength,JONAS SIEGENTHALER,15,20202021,202.35,26.56%,28.70%,26.24%
DENNIS CHOLOWSKIDDET20-21,Dennis Cholowski,D,DET,20-21,Even Strength,DENNIS CHOLOWSKI,16,20202021,222.2,26.64%,28.25%,27.41%
JEREMY DAVIESDNSH20-21,Jeremy Davies,D,NSH,20-21,Even Strength,JEREMY DAVIES,16,20202021,227.5166667,27.78%,28.31%,26.24%
