"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"15","Los Angeles Kings","28","1444.4167","9","14","5","9","23","0.411","1200","1305","47.90","932","1001","48.22","674","691","49.38","53","64","45.30","54.36","64.74","45.64","577","682","45.83","336","388","46.41","47","56","45.63","13.99","85.57","243","275","46.91","167","200","45.50","40","33","54.79","23.95","83.50","334","407","45.07","169","188","47.34","7","23","23.33","4.14","87.77","527","529","49.91","297","270","52.38","2","4","33.33","0.67","98.52","7.86","90.74","0.986"
"16","Ottawa Senators","28","1414.6167","14","10","4","13","32","0.571","1312","1366","48.99","1015","1010","50.12","720","725","49.83","64","59","52.03","54.15","50.03","51.98","603","580","50.97","351","330","51.54","54","43","55.67","15.38","86.97","245","208","54.08","175","152","53.52","37","27","57.81","21.14","82.24","358","372","49.04","176","178","49.72","17","16","51.52","9.66","91.01","602","667","47.44","329","360","47.75","6","11","35.29","1.82","96.94","8.89","91.86","1.008"
"17","Calgary Flames","28","1407.6167","15","12","1","15","31","0.554","1299","1046","55.39","1019","825","55.26","695","592","54.00","70","58","54.69","59.28","45.56","56.54","659","497","57.01","417","321","56.50","63","53","54.31","15.11","83.49","256","183","58.31","198","148","57.23","34","32","51.52","17.17","78.38","403","314","56.21","219","173","55.87","29","21","58.00","13.24","87.86","563","472","54.40","249","243","50.61","5","5","50.00","2.01","97.94","10.07","90.20","1.003"
"18","Pittsburgh Penguins","28","1446.6","22","4","2","20","46","0.821","1166","1201","49.26","879","927","48.67","677","724","48.32","79","47","62.70","55.35","52.69","51.23","579","538","51.84","371","373","49.87","61","39","61.00","16.44","89.54","223","233","48.90","188","202","48.21","42","25","62.69","22.34","87.62","356","305","53.86","183","171","51.69","19","14","57.58","10.38","91.81","512","584","46.72","278","321","46.41","12","8","60.00","4.32","97.51","11.67","93.51","1.052"
"19","New York Islanders","28","1493.7","21","4","3","18","45","0.804","1278","1329","49.02","960","966","49.84","719","694","50.88","76","52","59.38","63.7","51.21","55.44","725","673","51.86","467","394","54.24","70","42","62.50","14.99","89.34","336","224","60.00","272","168","61.82","56","28","66.67","20.59","83.33","389","449","46.42","195","226","46.32","14","14","50.00","7.18","93.81","477","571","45.52","224","272","45.16","5","9","35.71","2.23","96.69","10.57","92.51","1.031"
"20","St Louis Blues","28","1439.15","12","11","5","12","29","0.518","1219","1276","48.86","920","951","49.17","724","691","51.17","66","66","50.00","49.83","63.06","44.14","567","602","48.50","370","369","50.07","52","56","48.15","14.05","84.82","180","247","42.15","143","179","44.41","30","39","43.48","20.98","78.21","387","355","52.16","227","190","54.44","22","17","56.41","9.69","91.05","532","559","48.76","310","290","51.67","13","8","61.90","4.19","97.24","9.12","90.45","0.996"
"21","Anaheim Ducks","28","1426","6","18","4","5","16","0.286","1279","1319","49.23","962","995","49.16","647","717","47.43","48","77","38.40","52.6","62.97","45.51","594","690","46.26","360","447","44.61","41","72","36.28","11.39","83.89","259","297","46.58","189","230","45.11","29","51","36.25","15.34","77.83","335","393","46.02","171","217","44.07","12","21","36.36","7.02","90.32","587","569","50.78","250","253","49.70","6","4","60.00","2.40","98.42","7.42","89.26","0.967"
"22","Vancouver Canucks","28","1384.35","13","12","3","11","29","0.518","1277","1391","47.86","956","1007","48.70","682","746","47.76","55","65","45.83","58.61","63.6","47.96","610","725","45.69","352","422","45.48","48","57","45.71","13.64","86.49","231","266","46.48","165","203","44.84","31","37","45.59","18.79","81.77","379","459","45.23","187","219","46.06","17","20","45.95","9.09","90.87","564","561","50.13","294","292","50.17","5","4","55.56","1.70","98.63","8.06","91.29","0.994"
"23","Boston Bruins","28","1409.1333","18","7","3","15","39","0.696","1308","1069","55.03","1051","829","55.90","770","577","57.16","69","54","56.10","52.44","41.46","55.85","611","509","54.55","399","308","56.44","54","47","53.47","13.53","84.74","215","181","54.29","174","141","55.24","33","31","51.56","18.97","78.01","396","328","54.70","225","167","57.40","21","16","56.76","9.33","90.42","634","509","55.47","331","235","58.48","14","6","70.00","4.23","97.45","8.96","90.64","0.996"
"24","Carolina Hurricanes","28","1437.25","20","3","5","19","45","0.804","1480","1216","54.90","1137","935","54.87","793","662","54.50","65","47","58.04","80.27","59.45","57.45","743","581","56.12","427","361","54.19","51","39","56.67","11.94","89.20","343","267","56.23","234","193","54.80","35","28","55.56","14.96","85.49","400","314","56.02","193","168","53.46","16","11","59.26","8.29","93.45","636","528","54.64","337","273","55.25","12","8","60.00","3.56","97.07","8.20","92.90","1.011"
"25","Columbus Blue Jackets","28","1492.1333","11","9","8","9","30","0.536","1230","1410","46.59","961","1086","46.95","686","802","46.10","65","72","47.45","51.04","62.94","44.78","563","654","46.26","344","408","45.74","44","62","41.51","12.79","84.80","199","262","43.17","136","205","39.88","22","39","36.07","16.18","80.98","364","392","48.15","208","203","50.61","22","23","48.89","10.58","88.67","565","667","45.86","310","361","46.20","19","9","67.86","6.13","97.51","9.48","91.02","1.005"
"26","Washington Capitals","28","1440.25","17","8","3","16","37","0.661","1353","1316","50.69","1013","997","50.40","700","698","50.07","63","61","50.81","57.76","54.83","51.30","626","563","52.65","349","332","51.25","45","47","48.91","12.89","85.84","257","215","54.45","176","147","54.49","31","32","49.21","17.61","78.23","369","348","51.46","173","185","48.32","14","15","48.28","8.09","91.89","624","611","50.53","317","312","50.40","17","11","60.71","5.36","96.47","9.00","91.26","1.003"
"27","Chicago Blackhawks","28","1440.5333","13","11","4","12","30","0.536","1217","1453","45.58","852","1070","44.33","690","852","44.75","72","69","51.06","51.46","65.97","43.82","590","731","44.66","384","491","43.89","65","64","50.39","16.93","86.97","250","309","44.72","207","264","43.95","46","47","49.46","22.22","82.20","340","422","44.62","177","227","43.81","19","17","52.78","10.73","92.51","538","633","45.94","278","334","45.42","6","5","54.55","2.16","98.50","10.43","91.90","1.023"
"28","Minnesota Wild","28","1378.6","21","5","2","21","44","0.786","1127","1265","47.12","879","925","48.73","635","663","48.92","84","52","61.76","50.51","41.68","54.79","510","486","51.20","338","304","52.65","69","41","62.73","20.41","86.51","238","147","61.82","175","116","60.14","42","22","65.63","24.00","81.03","272","339","44.52","163","188","46.44","27","19","58.70","16.56","89.89","536","655","45.00","281","334","45.69","12","11","52.17","4.27","96.71","13.23","92.16","1.054"
"29","Dallas Stars","28","1425.7833","13","7","8","12","34","0.607","1342","1159","53.66","974","841","53.66","674","556","54.80","63","46","57.80","54.3","46.53","53.86","640","529","54.75","365","301","54.80","57","39","59.38","15.62","87.04","270","197","57.82","189","138","57.80","42","31","57.53","22.22","77.54","370","332","52.71","176","163","51.92","15","8","65.22","8.52","95.09","577","504","53.38","262","223","54.02","5","7","41.67","1.91","96.86","9.35","91.73","1.011"
"30","Montreal Canadiens","28","1453.7333","13","11","4","12","30","0.536","1445","1160","55.47","1032","842","55.07","753","619","54.88","59","65","47.58","56.09","48.57","53.59","718","531","57.49","383","308","55.43","51","51","50.00","13.32","83.44","271","235","53.56","192","165","53.78","35","34","50.72","18.23","79.39","447","296","60.16","191","143","57.19","16","17","48.48","8.38","88.11","620","510","54.87","337","268","55.70","6","11","35.29","1.78","95.90","7.84","89.50","0.973"
"31","San Jose Sharks","28","1415.25","11","13","4","10","26","0.464","1263","1359","48.17","973","1005","49.19","708","729","49.27","64","87","42.38","64.9","60.79","51.63","692","659","51.22","436","401","52.09","50","70","41.67","11.47","82.54","302","264","53.36","229","191","54.52","33","41","44.59","14.41","78.53","390","395","49.68","207","210","49.64","17","29","36.96","8.21","86.19","491","608","44.68","246","298","45.22","11","15","42.31","4.47","94.97","9.04","88.07","0.971"
