"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"17","Buffalo Sabres","28","52.981","7","18","3","6","17","0.304","49.67","54.12","47.86","39.15","42.79","47.78","28.19","31.1","47.54","2.22","3.11","41.67","2.27","2.49","47.70","23.26","27.26","46.04","14.24","17.19","45.30","1.62","2.47","39.60","11.36","85.65","9.79","10.6","48.02","7.36","8.33","46.91","1.13","1.82","38.36","15.38","78.16","13.47","16.66","44.70","6.88","8.86","43.70","0.49","0.65","42.86","7.06","92.69","22.93","23.94","48.92","12.62","12.5","50.24","0.53","0.53","50.00","4.17","95.79","7.89","89.99","0.979"
"18","Winnipeg Jets","28","50.3821","17","10","1","17","35","0.625","47","56.18","45.55","34.83","42.02","45.32","26.03","29.9","46.54","2.89","2.25","56.20","1.93","2.45","44.00","22.84","28.28","44.68","13.36","16.42","44.86","2.59","1.87","58.10","19.43","88.60","8.42","10.89","43.61","6.42","8","44.54","1.66","1.23","57.35","25.83","84.57","14.42","17.4","45.32","6.93","8.42","45.15","0.94","0.64","59.46","13.50","92.42","20.63","23.9","46.32","11.48","12.16","48.56","0.21","0.26","45.45","1.85","97.90","11.11","92.46","1.036"
"19","Arizona Coyotes","28","49.8821","12","14","2","11","26","0.464","50.86","55.46","47.84","38.19","41.8","47.74","27.36","31.27","46.67","2.45","3.31","42.54","2.26","2.6","46.45","22.64","28.78","44.03","14.52","18.09","44.53","2.15","2.66","44.64","14.79","85.27","9.15","11.51","44.28","6.96","8.59","44.75","1.16","1.76","39.71","16.67","79.50","13.49","17.27","43.85","7.56","9.49","44.33","0.99","0.9","52.27","13.07","90.50","24.36","22.94","51.50","11.73","11.73","50.00","0.26","0.47","35.29","2.20","95.97","8.95","89.42","0.984"
"20","New Jersey Devils","28","51.003","12","12","4","12","28","0.500","54.49","57.39","48.70","40.8","44.03","48.09","29.96","32.56","47.92","2.81","2.86","49.63","2.37","2.42","49.49","26.01","26.55","49.48","15.88","16.76","48.65","2.35","2.23","51.38","14.81","86.72","10.67","10.67","50.00","7.81","8.11","49.08","1.43","1.26","53.13","18.28","84.46","15.34","15.88","49.13","8.07","8.65","48.24","0.92","0.97","48.89","11.46","88.83","25.12","27.9","47.39","12.86","14.83","46.43","0.38","0.5","42.86","2.94","96.60","9.40","91.23","1.006"
"21","Colorado Avalanche","28","48.6792","17","9","2","17","36","0.643","63.61","47.23","57.39","46.13","35.79","56.31","31.56","25.58","55.24","2.86","2.6","52.42","2.8","2.19","56.20","31.25","22.85","57.77","17.21","13.91","55.30","2.51","2.16","53.77","14.58","84.49","11.62","9.33","55.46","8.1","7.04","53.49","1.54","0.97","61.40","19.02","86.25","19.63","13.51","59.23","9.11","6.87","57.02","0.97","1.19","44.90","10.63","82.69","28.17","20.16","58.29","13.25","10.26","56.37","0.31","0.31","50.00","2.33","97.00","9.07","89.85","0.989"
"22","Edmonton Oilers","28","51.7512","19","7","2","19","40","0.714","49.98","56.6","46.89","37.51","42.32","46.99","26.79","30.48","46.78","2.73","2.44","52.80","2.2","2.26","49.42","24.02","28.69","45.56","14.62","16.85","46.45","2.24","2.07","51.92","15.30","87.71","9.4","10.06","48.30","7.12","7.41","49.00","1.24","1.2","50.85","17.44","83.80","14.62","18.63","43.96","7.49","9.44","44.25","0.99","0.87","53.33","13.26","90.79","21.66","24.18","47.24","10.48","12.01","46.59","0.21","0.29","41.67","1.98","97.59","10.20","91.98","1.022"
"23","Philadelphia Flyers","28","51.2613","13","11","4","12","30","0.536","51.58","49.54","51.01","39.09","38.33","50.49","27.84","28.51","49.41","2.68","3.26","45.07","2.27","2.29","49.80","24.41","25.58","48.83","14.46","15.51","48.26","2.3","2.59","47.01","15.90","83.29","9.95","10.87","47.79","7.98","8.49","48.48","1.63","1.8","47.56","20.42","78.82","14.46","14.71","49.57","6.48","7.02","47.99","0.67","0.79","45.71","10.32","88.69","23.49","21.32","52.43","11.83","12","49.65","0.25","0.63","28.57","2.12","94.77","9.61","88.56","0.982"
"24","Florida Panthers","28","50.2375","17","9","2","16","36","0.643","56.35","50.84","52.57","43.38","39.54","52.31","32.42","28.24","53.45","2.82","2.86","49.62","2.55","2.32","52.32","27.13","25.76","51.29","17.79","15.61","53.26","2.39","2.39","50.00","13.43","84.70","10.75","10.19","51.32","9","7.72","53.83","1.62","1.75","48.10","18.01","77.35","16.38","15.57","51.27","8.79","7.89","52.69","0.77","0.64","54.55","8.74","91.89","25.34","22.31","53.18","13.22","11.6","53.26","0.43","0.43","50.00","3.23","96.32","8.68","89.88","0.986"
"25","Tampa Bay Lightning","28","48.9107","15","10","3","14","33","0.589","57","53.14","51.75","43.2","40.39","51.68","31.33","29.18","51.77","2.63","2.76","48.78","2.74","2.41","53.28","27.16","25.63","51.45","17.22","15.55","52.54","2.28","2.28","50.00","13.23","85.35","11.52","10.43","52.50","9.2","7.8","54.12","1.66","1.31","55.88","18.10","83.15","15.64","15.2","50.71","8.02","7.75","50.83","0.61","0.96","38.89","7.65","87.57","25.41","23.48","51.97","12.84","11.79","52.14","0.35","0.39","47.06","2.73","96.65","8.39","90.54","0.989"
"26","New York Rangers","28","50.5905","13","12","3","12","29","0.518","48.46","53.03","47.75","37.06","39.6","48.34","26.94","28.38","48.70","2.54","2.54","50.00","2.03","2.21","47.93","22.66","25.12","47.43","13.43","15.16","46.96","1.95","1.99","49.46","14.51","86.87","8.77","9.32","48.48","6.31","6.99","47.45","1.14","1.1","50.94","18.12","84.24","13.89","15.8","46.79","7.12","8.17","46.54","0.8","0.89","47.50","11.31","89.12","22.58","24.52","47.93","12.11","11.94","50.35","0.51","0.51","50.00","4.20","95.74","9.43","91.04","1.005"
"27","Detroit Red Wings","28","51.9244","7","16","5","6","19","0.339","47.42","55.84","45.92","36.15","43.25","45.53","28.06","30.5","47.92","1.98","3.22","38.10","2.07","2.44","45.88","22.78","26.33","46.39","14.57","15.64","48.22","1.73","2.64","39.62","11.90","83.11","9.24","10.15","47.66","7.72","7.1","52.09","1.24","1.57","44.12","16.04","77.91","13.54","16.18","45.56","6.85","8.54","44.50","0.5","1.07","31.58","7.23","87.44","20.14","24.97","44.65","11.72","13.62","46.25","0.25","0.45","35.29","2.11","96.67","7.06","89.45","0.965"
"28","Nashville Predators","28","51.1738","13","13","2","10","28","0.500","53.64","53.6","50.02","40.79","40.2","50.36","29.86","30.53","49.45","2.14","2.55","45.54","2.25","2.48","47.57","25.29","25.08","50.21","16.16","15.87","50.46","1.76","1.88","48.28","10.88","88.13","10.68","10.3","50.90","8.17","7.62","51.72","1.13","1.3","46.55","13.85","82.97","14.61","14.78","49.72","8","8.25","49.23","0.63","0.59","51.72","7.85","92.89","24.54","25.38","49.16","12.65","13.69","48.01","0.33","0.54","38.10","2.65","96.02","7.15","91.63","0.988"
"29","Vegas Golden Knights","28","50.8488","19","9","0","19","38","0.679","60.09","51.12","54.04","43.95","37.89","53.71","31.69","27.39","53.64","3.37","2.15","61.07","2.67","2.28","53.92","29.92","23.98","55.51","17.66","15.13","53.86","2.82","1.9","59.82","15.99","87.47","11.76","10.62","52.54","8.26","8.13","50.39","1.73","1.22","58.57","20.92","84.97","18.16","13.36","57.62","9.4","7","57.33","1.1","0.67","61.90","11.66","90.36","26.89","23.01","53.89","13.11","10.79","54.85","0.46","0.25","64.71","3.54","97.66","10.64","92.15","1.028"
"30","Los Angeles Kings","28","49.6131","12","14","2","11","26","0.464","51.01","56.8","47.32","38.44","42.8","47.32","27.64","31.53","46.72","2.33","3.28","41.54","2.3","2.74","45.61","22.85","29.59","43.57","14.34","18.57","43.57","1.99","2.81","41.44","13.86","84.88","9.5","12.18","43.82","7.17","9.03","44.27","1.43","1.77","44.59","19.88","80.38","13.35","17.41","43.40","7.17","9.55","42.89","0.56","1.04","35.14","7.83","89.14","23.67","23.19","50.51","11.96","11.49","51.01","0.17","0.39","30.77","1.44","96.62","8.44","89.59","0.980"
"31","Ottawa Senators","28","49.5988","9","18","1","8","19","0.339","54.39","59.71","47.67","40.27","45.19","47.12","27.91","32.92","45.88","2.46","3.85","39.04","2.34","2.91","44.59","26.4","31.11","45.91","14.69","18.62","44.10","1.99","3.5","36.22","13.53","81.21","10.28","13.05","44.07","6.91","9.72","41.56","1.47","1.81","44.74","21.25","81.33","16.12","18.06","47.16","7.78","8.9","46.63","0.52","1.68","23.53","6.67","81.07","23.68","25.1","48.54","11.45","13.18","46.49","0.39","0.35","52.94","3.40","97.38","8.82","88.32","0.971"
