"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"22","Nashville Predators","56","271.7833","31","23","2","26","64","0.571","411","56","88.01","303","50","85.84","225","40","84.91","28","2","93.33","25.4","3.23","88.73","186","30","86.11","113","18","86.26","20","2","90.91","17.70","88.89","75","12","86.21","55","10","84.62","13","2","86.67","23.64","80.00","111","18","86.05","58","8","87.88","7","0","100.00","12.07","100.00","219","15","93.59","109","12","90.08","6","0","100.00","5.50","100.00","12.44","95.00","1.074"
"23","Calgary Flames","56","295.6667","26","27","3","25","55","0.491","454","97","82.40","357","88","80.22","257","69","78.83","32","7","82.05","31.26","5.89","84.16","228","48","82.61","154","37","80.63","25","6","80.65","16.23","83.78","93","19","83.04","71","16","81.61","11","4","73.33","15.49","75.00","135","29","82.32","83","21","79.81","14","2","87.50","16.87","90.48","215","19","91.88","100","10","90.91","7","1","87.50","7.00","90.00","12.45","89.86","1.023"
"24","Winnipeg Jets","56","284.7","30","23","3","30","63","0.563","483","78","86.10","364","66","84.65","275","56","83.08","37","3","92.50","31.52","4.41","87.74","270","36","88.24","154","26","85.56","25","3","89.29","16.23","88.46","91","20","81.98","67","16","80.72","12","2","85.71","17.91","87.50","179","16","91.79","87","10","89.69","13","1","92.86","14.94","90.00","207","19","91.59","118","8","93.65","11","0","100.00","9.32","100.00","13.45","94.64","1.081"
"25","San Jose Sharks","56","262.85","21","28","7","16","49","0.438","412","67","86.01","308","55","84.85","229","49","82.37","23","4","85.19","28.31","3.76","88.28","202","32","86.32","125","24","83.89","19","4","82.61","15.20","83.33","84","16","84.00","67","14","82.72","13","4","76.47","19.40","71.43","118","16","88.06","58","10","85.29","6","0","100.00","10.34","100.00","200","16","92.59","103","9","91.96","4","0","100.00","3.88","100.00","10.04","91.84","1.019"
"26","Arizona Coyotes","56","302.95","24","26","6","21","54","0.482","421","61","87.34","309","58","84.20","217","47","82.20","37","4","90.24","26.24","3.3","88.83","200","24","89.29","112","19","85.50","25","3","89.29","22.32","84.21","77","15","83.70","42","12","77.78","12","3","80.00","28.57","75.00","123","9","93.18","70","7","90.91","13","0","100.00","18.57","100.00","209","17","92.48","101","12","89.38","11","0","100.00","10.89","100.00","17.05","91.49","1.085"
"27","Vegas Golden Knights","56","294.9","40","14","2","39","82","0.732","527","71","88.13","407","58","87.53","295","46","86.51","31","2","93.94","35.75","3.24","91.70","261","31","89.38","158","16","90.80","22","0","100.00","13.92","100.00","103","14","88.03","77","7","91.67","18","0","100.00","23.38","100.00","158","17","90.29","81","9","90.00","4","0","100.00","4.94","100.00","247","20","92.51","136","12","91.89","9","2","81.82","6.62","83.33","10.51","95.65","1.062"
"28","Anaheim Ducks","56","228.15","17","30","9","15","43","0.384","346","51","87.15","264","48","84.62","178","34","83.96","11","4","73.33","22.42","2.89","88.59","173","26","86.93","94","16","85.45","9","3","75.00","9.57","81.25","62","11","84.93","41","7","85.42","7","1","87.50","17.07","85.71","111","15","88.10","53","9","85.48","2","2","50.00","3.77","77.78","171","6","96.61","84","2","97.67","2","0","100.00","2.38","100.00","6.18","88.24","0.944"
"29","Los Angeles Kings","56","287.75","21","28","7","20","49","0.438","470","74","86.40","339","70","82.89","245","64","79.29","32","3","91.43","31.62","3.83","89.19","217","27","88.93","121","22","84.62","22","3","88.00","18.18","86.36","97","11","89.81","70","10","87.50","13","3","81.25","18.57","70.00","120","16","88.24","51","12","80.95","9","0","100.00","17.65","100.00","243","12","95.29","123","9","93.18","10","0","100.00","8.13","100.00","13.06","95.31","1.084"
"30","Minnesota Wild","56","302.6833","35","16","5","34","75","0.670","458","73","86.25","352","62","85.02","248","48","83.78","29","3","90.63","28.57","3.57","88.90","203","32","86.38","127","16","88.81","25","3","89.29","19.69","81.25","78","18","81.25","60","11","84.51","13","2","86.67","21.67","81.82","125","14","89.93","67","5","93.06","12","1","92.31","17.91","80.00","246","19","92.83","120","12","90.91","4","0","100.00","3.33","100.00","11.69","93.75","1.054"
"31","Ottawa Senators","56","289.9333","23","28","5","21","51","0.455","390","79","83.16","308","73","80.84","237","55","81.16","27","5","84.38","29.13","3.87","88.27","238","34","87.50","157","22","87.71","22","4","84.62","14.01","81.82","105","14","88.24","81","12","87.10","12","3","80.00","14.81","75.00","133","20","86.93","76","10","88.37","10","1","90.91","13.16","90.00","146","21","87.43","79","12","86.81","5","1","83.33","6.33","91.67","11.39","90.91","1.023"
