"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"46","Carl Soderberg","ARI, CHI, COL","C","115","128.01666666667","1.1131884057971","-3.81","-11.7","-1.36","-3.01","-9.03","-1.15","-1.9","-4.52","-0.98","-0.88","-0.92","-10.53","-0.18","-1.23","0.05","-1.45","-10.54","0.65","-2.67","-6.69","-6.22","-0.29","0.7","-7.69","1.63","-5.14","4.98","-0.2","-1.45","-5.56","-1.24","-0.28","-1.63","-0.21","-0.77","-9.09","0.00","87.72","0.877","2.81","2.81","18.75","74.05","13.04","5.62","4.22","24.84","18.46"
"524","Conor Sheary","BUF, PIT, WSH","L","118","6.0333333333333","0.051129943502825","-13.4","-11.71","-12.80","-11.81","-22.72","-14.02","-9.68","-0.49","-16.16","-0.74","-7.45","-","-0.81","-5.16","-10.54","-5.53","-29.04","-10.16","-3.08","-24.68","-","-0.64","-3.62","-","-3.26","-5.82","-9.16","0","-2.69","0.00","-6.15","-2.01","-9.37","-0.15","-2.61","-5.56","-","100.00","1.00","0","9.94","9.94","79.56","0.00","0","9.94","9.94","0.00"
"343","Miikka Salomaki","NSH","R","5","1.0666666666667","0.21333333333333","-15.7","-11.77","-18.75","-15.7","-1.31","-21.43","-13.08","-49.71","-","-5.23","-5.23","-","-1.24","-1.06","-27.43","-13.08","-26.16","-","-7.85","-7.85","-","-2.62","0","-","-6.98","-24.42","-","-3.49","-6.98","-33.33","0","20.78","0.00","0","0","-","-","-","-","0","0","0","168.75","-","0","0","0","-"
"805","Jaret Anderson-Dolan","L.A","C","38","32.9","0.86578947368421","-1.71","-11.78","-0.66","-2.25","-10.82","-1.47","-3.65","-18.44","-2.80","-0.43","-6.33","-5.00","-0.33","-2.34","-1.82","0.75","-24.34","5.49","-3","-15.23","-10.29","-0.43","-2.47","-9.09","5.01","-12.15","12.17","0","-1.72","0.00","0.78","18.76","0.29","0","-3.72","0.00","0.00","95.83","0.958","0","9.12","25.53","72.95","0.00","3.65","10.94","31","10.53"
"490","Carl Dahlstrom","WPG","D","15","14.95","0.99666666666667","-2.27","-11.86","-0.50","-1.99","-25.65","1.32","-1.99","-30.26","3.52","0","-14.31","-","0.01","-3.49","6.40","3.73","-0.21","6.56","2.58","-6.84","14.12","0","-10.02","-","1.54","8.84","0.74","0","-3.82","0.00","-2.47","-20.57","-0.43","0","-2.07","0.00","0.00","100.00","1.000","0","4.01","44.15","28.09","0.00","0","4.01","64.21","0.00"
"506","Valeri Nichushkin","COL","R","121","118.8","0.98181818181818","3.93","-11.96","4.33","1.74","-8.61","3.21","-0.31","-4","0.56","0.28","-3.17","10.77","0.2","-0.89","3.75","4.31","-5.4","8.05","0.32","-2.71","2.58","0.64","-0.67","21.33","5.31","-3.58","11.69","-0.16","-1.24","-4.76","0.34","-9.74","1.25","-0.35","-2.27","-10.53","10.53","92.16","1.027","2.53","6.06","22.22","72.22","10.20","3.54","9.09","27.27","11.48"
"601","Pierre Engvall","TOR","L","93","87.55","0.94139784946237","-3.88","-11.97","-0.81","-5.02","-7.68","-3.07","-5.94","-4.86","-6.22","0.52","-2.82","10.70","0.06","-0.48","2.07","0.42","-4.37","2.27","0.9","1.65","0.85","0.73","0.24","11.90","-0.63","-8.02","2.04","-0.28","-1.86","-7.14","0.34","-11.18","2.15","0","-2.08","0.00","14.29","87.50","1.018","2.06","4.8","20.56","75.39","9.09","3.43","8.91","22.62","13.16"
"432","Matthew Benning","EDM, NSH","D","96","136.3","1.4197916666667","1.21","-12.27","2.36","0.34","-5.76","1.27","-1.14","-4.95","-0.54","-0.39","1.24","-6.62","0.07","-0.95","2.28","2.4","-2.43","4.70","1.81","-4.66","11.63","-0.06","1.75","-6.70","0.79","2.97","1.09","-0.22","1.31","-9.09","-2.01","-13.48","-1.78","-0.24","-1.92","-11.11","5.88","85.71","0.916","0.44","5.72","23.33","52.38","1.85","2.2","9.24","35.22","5.88"
"778","Brandon Hagel","CHI","L","56","41.666666666667","0.74404761904762","7.37","-12.34","7.30","8.53","-7.25","9.20","8.84","-3.93","10.74","2.59","2.53","18.52","1.44","-0.3","14.34","9.73","-2.17","12.74","10.64","0.98","27.37","1.44","2.57","20.00","-1.21","-4.2","-1.03","1.92","-0.02","50.00","-4.19","-14.67","-6.10","0","-0.03","0.00","14.29","81.58","0.959","2.88","1.44","14.4","83.52","16.67","4.32","1.44","18.72","18.75"
"870","Eric Robinson","CBJ","L","108","61.866666666667","0.57283950617284","5.39","-12.34","6.58","1.82","-4.42","2.96","0.82","1.45","0.54","0.01","-0.72","1.52","0.08","-0.21","1.59","5.42","-12.5","15.16","1.82","1.16","6.55","0.81","1.01","14.74","4.8","-18.21","20.58","-0.43","-1.47","-13.33","-1.06","0.19","-1.34","-0.46","-0.9","-16.67","7.14","87.76","0.949","0.97","3.88","26.19","65.95","3.57","2.91","9.7","29.09","9.09"
