"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"20","Detroit Red Wings","56","255.4333","19","27","10","17","48","0.429","52","405","11.38","45","307","12.78","38","229","14.23","0","33","0.00","1.8","27.42","6.16","19","207","8.41","9","131","6.43","0","28","0.00","0.00","78.63","5","86","5.49","4","71","5.33","0","20","0.00","0.00","71.83","14","121","10.37","5","60","7.69","0","8","0.00","0.00","86.67","12","190","5.94","10","98","9.26","0","5","0.00","0.00","94.90","0.00","85.59","0.856"
"21","Columbus Blue Jackets","56","241.4","18","26","12","15","48","0.429","66","350","15.87","60","260","18.75","56","184","23.33","5","28","15.15","3.09","22.21","12.22","30","155","16.22","27","105","20.45","4","25","13.79","14.81","76.19","16","55","22.54","15","46","24.59","2","15","11.76","13.33","67.39","14","100","12.28","12","59","16.90","2","10","16.67","16.67","83.05","22","184","10.68","15","78","16.13","1","3","25.00","6.67","96.15","8.93","84.78","0.937"
"22","Nashville Predators","56","287.6167","31","23","2","26","64","0.571","51","419","10.85","44","313","12.32","36","239","13.09","5","42","10.64","3.19","28.11","10.19","27","208","11.49","20","137","12.74","5","35","12.50","25.00","74.45","18","81","18.18","15","69","17.86","4","21","16.00","26.67","69.57","9","127","6.62","5","68","6.85","1","14","6.67","20.00","79.41","13","202","6.05","7","100","6.54","0","6","0.00","0.00","94.00","13.89","82.43","0.963"
"23","Calgary Flames","56","285.35","26","27","3","25","55","0.491","70","430","14.00","60","303","16.53","45","213","17.44","2","34","5.56","5.02","28.04","15.18","34","249","12.01","23","146","13.61","2","26","7.14","8.70","82.19","16","86","15.69","13","63","17.11","2","13","13.33","15.38","79.37","18","163","9.94","10","83","10.75","0","13","0.00","0.00","84.34","18","176","9.28","7","66","9.59","0","8","0.00","0.00","87.88","4.44","84.04","0.885"
"24","Winnipeg Jets","56","257.5167","30","23","3","30","63","0.563","51","435","10.49","43","328","11.59","33","250","11.66","3","29","9.38","2.32","31.89","6.79","23","233","8.98","15","149","9.15","3","23","11.54","20.00","84.56","6","106","5.36","5","84","5.62","3","14","17.65","60.00","83.33","17","127","11.81","10","65","13.33","0","9","0.00","0.00","86.15","7","193","3.50","1","98","1.01","0","6","0.00","0.00","93.88","9.09","88.40","0.975"
"25","San Jose Sharks","56","317.3667","21","28","7","16","49","0.438","97","477","16.90","82","371","18.10","63","264","19.27","5","36","12.20","4.31","30.87","12.25","37","231","13.81","17","145","10.49","5","28","15.15","29.41","80.69","19","90","17.43","10","64","13.51","4","19","17.39","40.00","70.31","18","141","11.32","7","81","7.95","1","9","10.00","14.29","88.89","21","229","8.40","11","115","8.73","0","8","0.00","0.00","93.04","7.94","86.36","0.943"
"26","Arizona Coyotes","56","280.6667","24","26","6","21","54","0.482","54","484","10.04","41","370","9.98","34","270","11.18","1","32","3.03","2.46","34.56","6.66","24","234","9.30","14","145","8.81","0","26","0.00","0.00","82.07","11","93","10.58","8","72","10.00","0","18","0.00","0.00","75.00","13","141","8.44","6","73","7.59","0","8","0.00","0.00","89.04","13","245","5.04","7","124","5.34","1","6","14.29","14.29","95.16","2.94","88.15","0.911"
"27","Anaheim Ducks","56","285.5","17","30","9","15","43","0.384","67","436","13.32","63","334","15.87","52","245","17.51","1","33","2.94","3.31","31.94","9.39","29","235","10.98","20","154","11.49","1","25","3.85","5.00","83.77","16","107","13.01","13","79","14.13","1","14","6.67","7.69","82.28","13","128","9.22","7","75","8.54","0","11","0.00","0.00","85.33","13","191","6.37","10","91","9.90","0","8","0.00","0.00","91.21","1.92","86.53","0.885"
"28","Vegas Golden Knights","56","245.7667","40","14","2","39","82","0.732","68","391","14.81","58","267","17.85","47","188","20.00","4","19","17.39","4.63","24.37","15.97","34","207","14.11","23","114","16.79","3","16","15.79","13.04","85.96","17","69","19.77","13","52","20.00","2","9","18.18","15.38","82.69","17","138","10.97","10","62","13.89","1","7","12.50","10.00","88.71","14","176","7.37","9","71","11.25","0","2","0.00","0.00","97.18","8.51","89.89","0.984"
"29","Minnesota Wild","56","286.6833","35","16","5","34","75","0.670","58","444","11.55","53","325","14.02","43","246","14.88","2","31","6.06","2.98","27.12","9.90","23","190","10.80","19","126","13.10","2","25","7.41","10.53","80.16","10","75","11.76","8","56","12.50","0","9","0.00","0.00","83.93","13","115","10.16","11","70","13.58","2","16","11.11","18.18","77.14","17","234","6.77","7","118","5.60","0","6","0.00","0.00","94.92","4.65","87.40","0.920"
"30","Los Angeles Kings","56","269.2333","21","28","7","20","49","0.438","40","471","7.83","35","357","8.93","29","259","10.07","3","26","10.34","2.68","29.94","8.21","22","225","8.91","15","130","10.34","3","16","15.79","20.00","87.69","12","82","12.77","8","54","12.90","2","9","18.18","25.00","83.33","10","143","6.54","7","76","8.43","1","7","12.50","14.29","90.79","6","241","2.43","2","129","1.53","0","10","0.00","0.00","92.25","10.34","89.96","1.003"
"31","Ottawa Senators","56","298.7667","23","28","5","21","51","0.455","74","458","13.91","67","349","16.11","59","257","18.67","7","36","16.28","5.28","31.48","14.35","44","275","13.79","36","162","18.18","7","28","20.00","19.44","82.72","23","103","18.25","22","73","23.16","7","14","33.33","31.82","80.82","21","172","10.88","14","89","13.59","0","14","0.00","0.00","84.27","12","179","6.28","6","93","6.06","0","8","0.00","0.00","91.40","11.86","85.99","0.979"
