"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"52","Maxime Lagace","PIT","1","54","54","28.89","28.89","1.000","0.00","2.43","1.84","10","10","1.000","0.00","1.80","5.56","5.56","1.000","0.00","0.50","10","10","1.000","0.00","0.29","4.44","1.11","36.81","-"
"97","Michael Dipietro","VAN","1","5.7666666666667","5.7666666666667","41.62","41.62","1.000","0.00","3.50","1.67","10.4","10.4","1.000","0.00","1.88","10.4","10.4","1.000","0.00","0.94","20.81","20.81","1.000","0.00","0.61","0","0","39.00","-"
"104","Logan Thompson","VGK","1","6.25","6.25","19.2","19.2","1.000","0.00","1.61","1.43","0","0","-","0.00","0.00","9.6","9.6","1.000","0.00","0.87","9.6","9.6","1.000","0.00","0.28","9.6","0","29.50","-"
"110","Veini Vehvilainen","CBJ","1","5.1","5.1","11.76","11.76","1.000","0.00","0.99","0.49","0","0","-","0.00","0.00","0","0","-","0.00","0.00","11.76","11.76","1.000","0.00","0.34","0","0","44.00","-"
"103","Jeremy Swayman","BOS","10","507.71666666667","50.771666666667","27.42","26.12","0.953","1.30","1.01","1.82","5.79","5.2","0.898","0.59","0.45","6.97","6.74","0.966","0.24","0.40","13.71","13.24","0.966","0.47","-0.07","1.18","2.84","36.63","22.64"
"94","Adam Werner","COL","2","69.7","34.85","33.57","31.85","0.949","1.72","1.10","2.2","6.03","5.16","0.857","0.86","0.23","10.33","9.47","0.917","0.86","0.08","15.49","15.49","1.000","0.00","0.45","0.86","2.58","37.44","22.00"
"92","Filip Gustavsson","OTT","9","389.85","43.316666666667","32.78","30.78","0.939","2.00","0.76","2.27","6.77","5.69","0.841","1.08","0.14","7.85","7.08","0.902","0.77","-0.06","16.62","16.47","0.991","0.15","0.33","2.15","3.08","37.81","19.46"
"65","Antoine Bibeau","COL","2","66.45","33.225","28.89","27.09","0.938","1.81","0.62","3.19","9.03","8.13","0.900","0.90","0.73","8.13","7.22","0.889","0.90","-0.17","9.93","9.93","1.000","0.00","0.29","0","4.51","31.91","9.50"
"57","Chris Driedger","FLA","35","1679.8166666667","47.994761904762","29.68","27.82","0.937","1.86","0.64","2.18","7.5","6.36","0.848","1.14","0.21","7.39","7.04","0.952","0.36","0.31","12.97","12.64","0.975","0.32","0.06","1.54","3.07","36.65","23.35"
"14","Anton Khudobin","DAL","62","2872.6666666667","46.333333333333","28.09","26.19","0.932","1.90","0.46","1.91","6.64","5.51","0.830","1.13","0.07","7.1","6.73","0.947","0.38","0.27","12.66","12.26","0.969","0.40","-0.03","1.21","2.74","37.15","21.59"
"72","Alex Nedeljkovic","CAR","27","1352.1833333333","50.080864197531","27.91","26","0.932","1.91","0.44","2.11","7.14","5.99","0.839","1.15","0.14","7.94","7.37","0.927","0.58","0.14","11.36","11.18","0.984","0.18","0.15","1.15","3.11","35.35","18.63"
"113","Spencer Knight","FLA","4","178.23333333333","44.558333333333","29.62","27.6","0.932","2.02","0.47","1.7","5.72","4.71","0.824","1.01","0.02","7.07","6.06","0.857","1.01","-0.37","15.82","15.82","1.000","0.00","0.46","0.34","2.69","36.98","20.00"
"17","Tuukka Rask","BOS","65","3106.0666666667","47.785641025641","27.62","25.73","0.931","1.89","0.43","1.95","6.66","5.7","0.855","0.97","0.24","7.19","6.57","0.914","0.62","0.03","12.19","11.88","0.975","0.31","0.05","1.66","3.09","37.91","23.78"
"68","Juuse Saros","NSH","76","3533.7833333333","46.497149122807","31.41","29.22","0.930","2.19","0.45","2.31","8.15","6.74","0.827","1.41","0.06","8.3","7.84","0.945","0.46","0.29","13.55","13.26","0.979","0.29","0.11","1.39","3.45","34.69","19.18"
"59","Anthony Stolarz","ANA","9","450.53333333333","50.059259259259","29.83","27.7","0.929","2.13","0.38","2.17","6.93","5.33","0.769","1.60","-0.35","8.12","7.86","0.967","0.27","0.47","12.65","12.39","0.979","0.27","0.10","1.2","2.66","36.82","22.50"
"55","Andrei Vasilevskiy","T.B","94","4652.8166666667","49.49804964539","29.85","27.71","0.928","2.14","0.37","2.1","7.93","6.78","0.855","1.15","0.28","8.91","8.18","0.918","0.74","0.07","11.81","11.55","0.978","0.26","0.09","1.52","2.95","35.37","22.04"
"79","Igor Shesterkin","NYR","47","2148.9666666667","45.722695035461","32.67","30.32","0.928","2.35","0.40","2.49","9.16","8.01","0.875","1.14","0.51","7.68","6.87","0.895","0.81","-0.11","14.27","13.88","0.973","0.39","0.02","1.48","3.04","34.96","22.56"
"23","Semyon Varlamov","NYI","81","3982.7666666667","49.169958847737","29.44","27.28","0.927","2.15","0.32","2.19","7.47","6.19","0.829","1.28","0.07","8.45","7.91","0.936","0.54","0.22","12.07","11.75","0.974","0.32","0.04","1.55","2.98","35.24","21.37"
