Date,Visitor,A_G,Home,H_G,Notes
21-01-13,St. Louis Blues,4,Colorado Avalanche,1,
21-01-13,Vancouver Canucks,5,Edmonton Oilers,3,
21-01-13,Pittsburgh Penguins,3,Philadelphia Flyers,6,
21-01-13,Chicago Blackhawks,1,Tampa Bay Lightning,5,
21-01-13,Montreal Canadiens,4,Toronto Maple Leafs,5,OT
21-01-14,San Jose Sharks,4,Arizona Coyotes,3,SO
21-01-14,Washington Capitals,6,Buffalo Sabres,4,
21-01-14,Carolina Hurricanes,3,Detroit Red Wings,0,
21-01-14,Vancouver Canucks,2,Edmonton Oilers,5,
21-01-14,Minnesota Wild,4,Los Angeles Kings,3,OT
21-01-14,Boston Bruins,3,New Jersey Devils,2,SO
21-01-14,Columbus Blue Jackets,1,Nashville Predators,3,
21-01-14,New York Islanders,4,New York Rangers,0,
21-01-14,Anaheim Ducks,2,Vegas Golden Knights,5,
21-01-14,Calgary Flames,3,Winnipeg Jets,4,OT
21-01-15,Washington Capitals,2,Buffalo Sabres,1,
21-01-15,St. Louis Blues,0,Colorado Avalanche,8,
21-01-15,Toronto Maple Leafs,3,Ottawa Senators,5,
21-01-15,Pittsburgh Penguins,2,Philadelphia Flyers,5,
21-01-15,Chicago Blackhawks,2,Tampa Bay Lightning,5,
21-01-16,San Jose Sharks,3,Arizona Coyotes,5,
21-01-16,Vancouver Canucks,0,Calgary Flames,3,
21-01-16,Carolina Hurricanes,2,Detroit Red Wings,4,
21-01-16,Montreal Canadiens,5,Edmonton Oilers,1,
21-01-16,Minnesota Wild,4,Los Angeles Kings,3,OT
21-01-16,Boston Bruins,1,New Jersey Devils,2,OT
21-01-16,Columbus Blue Jackets,2,Nashville Predators,5,
21-01-16,New York Islanders,0,New York Rangers,5,
21-01-16,Toronto Maple Leafs,3,Ottawa Senators,2,
21-01-16,Anaheim Ducks,1,Vegas Golden Knights,2,OT
21-01-17,Chicago Blackhawks,2,Florida Panthers,5,
21-01-17,Washington Capitals,3,Pittsburgh Penguins,4,SO
21-01-18,Minnesota Wild,0,Anaheim Ducks,1,
21-01-18,Vancouver Canucks,2,Calgary Flames,5,
21-01-18,Columbus Blue Jackets,3,Detroit Red Wings,2,
21-01-18,Montreal Canadiens,3,Edmonton Oilers,1,
21-01-18,Carolina Hurricanes,4,Nashville Predators,2,
21-01-18,Boston Bruins,0,New York Islanders,1,
21-01-18,Buffalo Sabres,6,Philadelphia Flyers,1,
21-01-18,San Jose Sharks,4,St. Louis Blues,5,
21-01-18,Winnipeg Jets,1,Toronto Maple Leafs,3,
21-01-18,Arizona Coyotes,2,Vegas Golden Knights,4,
21-01-19,Columbus Blue Jackets,2,Detroit Red Wings,3,OT
21-01-19,Chicago Blackhawks,4,Florida Panthers,5,OT
21-01-19,Colorado Avalanche,3,Los Angeles Kings,2,
21-01-19,New Jersey Devils,4,New York Rangers,3,
21-01-19,Winnipeg Jets,4,Ottawa Senators,3,OT
21-01-19,Buffalo Sabres,0,Philadelphia Flyers,3,
21-01-19,Washington Capitals,4,Pittsburgh Penguins,5,OT
21-01-20,Minnesota Wild,3,Anaheim Ducks,2,
21-01-20,San Jose Sharks,2,St. Louis Blues,1,SO
21-01-20,Edmonton Oilers,3,Toronto Maple Leafs,1,
21-01-20,Montreal Canadiens,5,Vancouver Canucks,6,SO
21-01-20,Arizona Coyotes,2,Vegas Golden Knights,5,
21-01-21,Philadelphia Flyers,4,Boston Bruins,5,SO
21-01-21,Tampa Bay Lightning,3,Columbus Blue Jackets,2,OT
21-01-21,Colorado Avalanche,2,Los Angeles Kings,4,
21-01-21,New Jersey Devils,1,New York Islanders,4,
21-01-21,Winnipeg Jets,4,Ottawa Senators,1,
21-01-21,Montreal Canadiens,7,Vancouver Canucks,3,
21-01-22,Colorado Avalanche,3,Anaheim Ducks,2,OT
21-01-22,Vegas Golden Knights,2,Arizona Coyotes,5,
21-01-22,Detroit Red Wings,1,Chicago Blackhawks,4,
21-01-22,Nashville Predators,0,Dallas Stars,7,
21-01-22,San Jose Sharks,1,Minnesota Wild,4,
21-01-22,New York Rangers,3,Pittsburgh Penguins,4,SO
21-01-22,Edmonton Oilers,2,Toronto Maple Leafs,4,
21-01-22,Buffalo Sabres,3,Washington Capitals,4,SO
21-01-23,Philadelphia Flyers,1,Boston Bruins,6,
21-01-23,Tampa Bay Lightning,2,Columbus Blue Jackets,5,
21-01-23,Los Angeles Kings,2,St. Louis Blues,4,
21-01-23,Montreal Canadiens,5,Vancouver Canucks,2,
21-01-23,Ottawa Senators,3,Winnipeg Jets,6,
21-01-24,Colorado Avalanche,1,Anaheim Ducks,3,
21-01-24,Vegas Golden Knights,1,Arizona Coyotes,0,
21-01-24,Toronto Maple Leafs,3,Calgary Flames,2,
21-01-24,Detroit Red Wings,2,Chicago Blackhawks,6,
21-01-24,Nashville Predators,2,Dallas Stars,3,
21-01-24,San Jose Sharks,5,Minnesota Wild,3,
21-01-24,New York Islanders,0,New Jersey Devils,2,
21-01-24,New York Rangers,2,Pittsburgh Penguins,3,
21-01-24,Los Angeles Kings,6,St. Louis Blues,3,
21-01-24,Edmonton Oilers,4,Winnipeg Jets,3,
21-01-24,Buffalo Sabres,4,Washington Capitals,3,SO
21-01-25,Ottawa Senators,1,Vancouver Canucks,7,
21-01-26,Anaheim Ducks,1,Arizona Coyotes,0,
21-01-26,Pittsburgh Penguins,2,Boston Bruins,3,OT
21-01-26,New York Rangers,2,Buffalo Sabres,3,
21-01-26,Florida Panthers,4,Columbus Blue Jackets,3,SO
21-01-26,Toronto Maple Leafs,4,Calgary Flames,3,
21-01-26,San Jose Sharks,3,Colorado Avalanche,7,
21-01-26,Detroit Red Wings,1,Dallas Stars,2,OT
21-01-26,Los Angeles Kings,2,Minnesota Wild,1,
21-01-26,Philadelphia Flyers,5,New Jersey Devils,3,
21-01-26,Chicago Blackhawks,2,Nashville Predators,3,OT
21-01-26,St. Louis Blues,5,Vegas Golden Knights,4,SO
21-01-26,Edmonton Oilers,4,Winnipeg Jets,6,
21-01-26,New York Islanders,2,Washington Capitals,3,
21-01-27,Chicago Blackhawks,1,Nashville Predators,2,SO
21-01-27,Ottawa Senators,1,Vancouver Canucks,5,
21-01-28,Anaheim Ducks,2,Arizona Coyotes,3,
21-01-28,Pittsburgh Penguins,1,Boston Bruins,4,
21-01-28,New York Rangers,3,Buffalo Sabres,2,OT
21-01-28,Tampa Bay Lightning,0,Carolina Hurricanes,1,OT
21-01-28,Florida Panthers,2,Columbus Blue Jackets,3,SO
21-01-28,San Jose Sharks,0,Colorado Avalanche,3,
21-01-28,Detroit Red Wings,3,Dallas Stars,7,
21-01-28,Toronto Maple Leafs,4,Edmonton Oilers,3,
21-01-28,Los Angeles Kings,3,Minnesota Wild,5,
21-01-28,Calgary Flames,2,Montreal Canadiens,4,
21-01-28,Philadelphia Flyers,3,New Jersey Devils,1,
21-01-28,Ottawa Senators,1,Vancouver Canucks,4,
21-01-28,New York Islanders,3,Washington Capitals,6,
21-01-29,Columbus Blue Jackets,2,Chicago Blackhawks,1,
21-01-30,St. Louis Blues,6,Anaheim Ducks,1,
21-01-30,New Jersey Devils,3,Buffalo Sabres,4,SO
21-01-30,Dallas Stars,1,Carolina Hurricanes,4,
21-01-30,Florida Panthers,3,Detroit Red Wings,2,OT
21-01-30,Toronto Maple Leafs,3,Edmonton Oilers,4,OT
21-01-30,Colorado Avalanche,5,Minnesota Wild,1,
21-01-30,Calgary Flames,2,Montreal Canadiens,0,
21-01-30,Pittsburgh Penguins,5,New York Rangers,4,OT
21-01-30,New York Islanders,2,Philadelphia Flyers,3,OT
21-01-30,Nashville Predators,3,Tampa Bay Lightning,4,
21-01-30,Vancouver Canucks,4,Winnipeg Jets,1,
21-01-30,Boston Bruins,3,Washington Capitals,4,OT
21-01-31,St. Louis Blues,4,Anaheim Ducks,1,
21-01-31,New Jersey Devils,5,Buffalo Sabres,3,
21-01-31,Dallas Stars,3,Carolina Hurricanes,4,SO
21-01-31,Columbus Blue Jackets,1,Chicago Blackhawks,3,
21-01-31,Florida Panthers,3,Detroit Red Wings,2,
21-01-31,Ottawa Senators,5,Edmonton Oilers,8,
21-01-31,Colorado Avalanche,3,Minnesota Wild,4,OT
21-01-31,New York Islanders,3,Philadelphia Flyers,4,OT
21-02-01,Vancouver Canucks,2,Montreal Canadiens,6,
21-02-01,Pittsburgh Penguins,1,New York Rangers,3,
21-02-01,Nashville Predators,2,Tampa Bay Lightning,5,
21-02-01,Calgary Flames,4,Winnipeg Jets,3,SO
21-02-01,Boston Bruins,5,Washington Capitals,3,
21-02-02,Dallas Stars,6,Columbus Blue Jackets,3,
21-02-02,Carolina Hurricanes,4,Chicago Blackhawks,3,SO
21-02-02,Minnesota Wild,1,Colorado Avalanche,2,
21-02-02,Ottawa Senators,2,Edmonton Oilers,4,
21-02-02,Anaheim Ducks,3,Los Angeles Kings,1,
21-02-02,Vancouver Canucks,3,Montreal Canadiens,5,
21-02-02,Arizona Coyotes,3,St. Louis Blues,4,
21-02-02,Calgary Flames,2,Winnipeg Jets,3,
21-02-03,Boston Bruins,4,Philadelphia Flyers,3,OT
21-02-03,Detroit Red Wings,1,Tampa Bay Lightning,5,
21-02-04,Dallas Stars,3,Columbus Blue Jackets,4,
21-02-04,Carolina Hurricanes,4,Chicago Blackhawks,6,
21-02-04,Nashville Predators,6,Florida Panthers,5,OT
21-02-04,Ottawa Senators,3,Montreal Canadiens,2,
21-02-04,Washington Capitals,2,New York Rangers,4,
21-02-04,Arizona Coyotes,4,St. Louis Blues,3,
21-02-04,Vancouver Canucks,3,Toronto Maple Leafs,7,
21-02-04,Calgary Flames,1,Winnipeg Jets,4,
21-02-05,San Jose Sharks,5,Anaheim Ducks,4,SO
21-02-05,Nashville Predators,1,Florida Panthers,2,
21-02-05,Boston Bruins,2,Philadelphia Flyers,1,
21-02-05,Detroit Red Wings,1,Tampa Bay Lightning,3,
21-02-05,Los Angeles Kings,2,Vegas Golden Knights,5,
21-02-06,San Jose Sharks,1,Anaheim Ducks,2,SO
21-02-06,Edmonton Oilers,4,Calgary Flames,6,
21-02-06,Pittsburgh Penguins,3,New York Islanders,4,
21-02-06,Montreal Canadiens,2,Ottawa Senators,1,
21-02-06,Arizona Coyotes,3,St. Louis Blues,1,
21-02-06,Vancouver Canucks,1,Toronto Maple Leafs,5,
21-02-07,Carolina Hurricanes,6,Columbus Blue Jackets,5,
21-02-07,Chicago Blackhawks,2,Dallas Stars,1,OT
21-02-07,Detroit Red Wings,4,Florida Panthers,1,
21-02-07,Los Angeles Kings,3,Vegas Golden Knights,4,
21-02-07,Philadelphia Flyers,7,Washington Capitals,4,
21-02-08,Carolina Hurricanes,2,Columbus Blue Jackets,3,
21-02-08,Tampa Bay Lightning,4,Nashville Predators,1,
21-02-08,New York Islanders,2,New York Rangers,0,
21-02-08,Edmonton Oilers,3,Ottawa Senators,1,
21-02-08,Arizona Coyotes,4,St. Louis Blues,3,SO
21-02-08,Vancouver Canucks,1,Toronto Maple Leafs,3,
21-02-09,Winnipeg Jets,2,Calgary Flames,3,
21-02-09,Chicago Blackhawks,2,Dallas Stars,1,OT
21-02-09,Detroit Red Wings,1,Florida Panthers,2,
21-02-09,San Jose Sharks,4,Los Angeles Kings,3,SO
21-02-09,Tampa Bay Lightning,6,Nashville Predators,1,
21-02-09,Edmonton Oilers,3,Ottawa Senators,2,
21-02-09,Anaheim Ducks,4,Vegas Golden Knights,5,
21-02-10,Toronto Maple Leafs,4,Montreal Canadiens,2,
21-02-10,Boston Bruins,3,New York Rangers,2,OT
