"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"1","Craig Anderson","WSH","4","12.416666666667","3.1041666666667","14.5","14.5","1.000","0.00","1.09","0.93","0","0","-","0.00","0.00","0","0","-","0.00","0.00","9.66","9.66","1.000","0.00","0.36","4.83","0","59.00","-"
"5","Marc-Andre Fleury","VGK","36","179.13333333333","4.9759259259259","7.7","7.7","1.000","0.00","0.58","0.61","1.67","1.67","1.000","0.00","0.32","2.01","2.01","1.000","0.00","0.19","1.34","1.34","1.000","0.00","0.05","2.01","0.67","72.57","-"
"9","Thomas Greiss","DET","34","128.71666666667","3.7857843137255","12.59","12.59","1.000","0.00","0.95","0.75","3.26","3.26","1.000","0.00","0.61","3.26","3.26","1.000","0.00","0.31","2.33","2.33","1.000","0.00","0.09","0.47","0","62.07","-"
"14","Jonathan Quick","L.A","22","112.88333333333","5.1310606060606","13.82","13.82","1.000","0.00","1.04","0.59","1.59","1.59","1.000","0.00","0.30","3.19","3.19","1.000","0.00","0.31","1.59","1.59","1.000","0.00","0.06","2.66","0","93.00","-"
"15","James Reimer","CAR","22","105.5","4.7954545454545","6.82","6.82","1.000","0.00","0.51","0.47","2.27","2.27","1.000","0.00","0.43","1.71","1.71","1.000","0.00","0.16","0.57","0.57","1.000","0.00","0.02","0","0","72.75","-"
"17","Semyon Varlamov","NYI","36","134.95","3.7486111111111","8.89","8.89","1.000","0.00","0.67","0.57","1.78","1.78","1.000","0.00","0.33","1.33","1.33","1.000","0.00","0.13","3.56","3.56","1.000","0.00","0.13","1.33","0.44","60.85","-"
"20","Michael Hutchinson","TOR","8","35.65","4.45625","8.42","8.42","1.000","0.00","0.63","0.88","3.37","3.37","1.000","0.00","0.63","3.37","3.37","1.000","0.00","0.32","0","0","-","0.00","0.00","3.37","0","55.20","-"
"27","Carter Hutton","BUF","13","44.833333333333","3.4487179487179","9.37","9.37","1.000","0.00","0.70","0.68","4.01","4.01","1.000","0.00","0.76","1.34","1.34","1.000","0.00","0.13","1.34","1.34","1.000","0.00","0.05","0","0","53.86","-"
"40","Anton Forsberg","OTT","8","27.683333333333","3.4604166666667","8.67","8.67","1.000","0.00","0.65","0.27","2.17","2.17","1.000","0.00","0.41","0","0","-","0.00","0.00","2.17","2.17","1.000","0.00","0.08","2.17","0","93.75","-"
"41","Jordan Binnington","STL","42","172.48333333333","4.106746031746","4.87","4.87","1.000","0.00","0.37","0.49","0.7","0.7","1.000","0.00","0.13","1.04","1.04","1.000","0.00","0.10","1.04","1.04","1.000","0.00","0.04","0.35","0.7","76.07","-"
"44","Maxime Lagace","PIT","1","4","4","15","15","1.000","0.00","1.13","0","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","179.00","-"
"45","Oscar Dansk","VGK","1","8","8","15","15","1.000","0.00","1.13","0.29","0","0","-","0.00","0.00","0","0","-","0.00","0.00","7.5","7.5","1.000","0.00","0.28","0","0","99.00","-"
"46","Malcolm Subban","CHI","16","79.883333333333","4.9927083333333","8.26","8.26","1.000","0.00","0.62","0.79","3.76","3.76","1.000","0.00","0.71","0.75","0.75","1.000","0.00","0.07","1.5","1.5","1.000","0.00","0.06","0.75","1.5","52.73","-"
"51","Anthony Stolarz","ANA","8","28.883333333333","3.6104166666667","6.23","6.23","1.000","0.00","0.47","0.01","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","2.08","0","162.33","-"
"54","Aaron Dell","N.J","7","38.95","5.5642857142857","4.62","4.62","1.000","0.00","0.35","0.16","0","0","-","0.00","0.00","1.54","1.54","1.000","0.00","0.15","1.54","1.54","1.000","0.00","0.06","0","0","87.33","-"
"55","Troy Grosenick","L.A","2","8.5166666666667","4.2583333333333","7.05","7.05","1.000","0.00","0.53","0.01","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","7.05","0","167.00","-"
"56","Antti Raanta","ARI","12","47.366666666667","3.9472222222222","7.6","7.6","1.000","0.00","0.57","0.6","0","0","-","0.00","0.00","5.07","5.07","1.000","0.00","0.48","2.53","2.53","1.000","0.00","0.09","1.27","0","37.83","-"
"58","Marcus Hogberg","OTT","14","60.05","4.2892857142857","9.99","9.99","1.000","0.00","0.75","0.52","1","1","1.000","0.00","0.19","3","3","1.000","0.00","0.29","2","2","1.000","0.00","0.07","1","0","80.50","-"
"65","Jonas Johansson","BUF, COL","15","62.616666666667","4.1744444444444","3.83","3.83","1.000","0.00","0.29","0.04","0.96","0.96","1.000","0.00","0.18","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0.96","0","125.00","-"
"66","Elvis Merzlikins","CBJ","28","68.916666666667","2.4613095238095","11.32","11.32","1.000","0.00","0.85","0.55","2.61","2.61","1.000","0.00","0.49","0","0","-","0.00","0.00","2.61","2.61","1.000","0.00","0.10","0","0","97.77","-"
"67","Ilya Sorokin","NYI","22","116.15","5.2795454545455","8.27","8.27","1.000","0.00","0.62","0.83","1.55","1.55","1.000","0.00","0.29","2.58","2.58","1.000","0.00","0.25","1.03","1.03","1.000","0.00","0.04","2.07","0.52","74.75","-"
"70","Igor Shesterkin","NYR","35","158.38333333333","4.5252380952381","9.47","9.47","1.000","0.00","0.71","0.32","0.38","0.38","1.000","0.00","0.07","2.65","2.65","1.000","0.00","0.25","0.38","0.38","1.000","0.00","0.01","1.14","0","110.32","-"
"72","Dan Vladar","BOS","5","29.583333333333","5.9166666666667","10.14","10.14","1.000","0.00","0.76","0.61","2.03","2.03","1.000","0.00","0.38","2.03","2.03","1.000","0.00","0.19","0","0","-","0.00","0.00","2.03","0","107.00","-"
"75","Joey Daccord","OTT","8","40.65","5.08125","11.81","11.81","1.000","0.00","0.89","0.71","4.43","4.43","1.000","0.00","0.83","1.48","1.48","1.000","0.00","0.14","2.95","2.95","1.000","0.00","0.11","2.95","0","51.00","-"
"82","Jake Oettinger","DAL","29","112.83333333333","3.8908045977011","10.1","10.1","1.000","0.00","0.76","0.65","1.06","1.06","1.000","0.00","0.20","2.66","2.66","1.000","0.00","0.25","2.13","2.13","1.000","0.00","0.08","1.06","0","81.32","-"
"84","Cayden Primeau","MTL","4","14.7","3.675","8.16","8.16","1.000","0.00","0.61","0.75","4.08","4.08","1.000","0.00","0.77","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","70.50","-"
"85","Hunter Miska","COL","5","24.9","4.98","12.05","12.05","1.000","0.00","0.91","0.76","4.82","4.82","1.000","0.00","0.91","2.41","2.41","1.000","0.00","0.23","0","0","-","0.00","0.00","7.23","0","65.00","-"
"89","Josef Korenar","S.J","10","46.35","4.635","7.77","7.77","1.000","0.00","0.58","1.12","5.18","5.18","1.000","0.00","0.97","1.29","1.29","1.000","0.00","0.12","0","0","-","0.00","0.00","5.18","1.29","42.50","-"
"94","Ivan Prosvetov","ARI","3","12.983333333333","4.3277777777778","13.86","13.86","1.000","0.00","1.04","0.89","9.24","9.24","1.000","0.00","1.74","0","0","-","0.00","0.00","0","0","-","0.00","0.00","4.62","4.62","58.00","-"
"95","Spencer Knight","FLA","4","21.566666666667","5.3916666666667","8.35","8.35","1.000","0.00","0.63","0.62","2.78","2.78","1.000","0.00","0.52","2.78","2.78","1.000","0.00","0.27","0","0","-","0.00","0.00","0","0","58.00","-"
"96","Alexei Melnichuk","S.J","3","6","2","10","10","1.000","0.00","0.75","0.54","0","0","-","0.00","0.00","10","10","1.000","0.00","0.96","0","0","-","0.00","0.00","0","0","26.00","-"
"52","Connor Hellebuyck","WPG","45","215.65","4.7922222222222","12.24","11.96","0.977","0.28","0.64","1.02","3.9","3.62","0.929","0.28","0.45","1.95","1.95","1.000","0.00","0.19","1.67","1.67","1.000","0.00","0.06","2.5","0.83","74.23","15.00"
"33","Philipp Grubauer","COL","40","233.26666666667","5.8316666666667","8.75","8.49","0.971","0.26","0.40","0.52","2.06","2.06","1.000","0.00","0.39","1.54","1.29","0.833","0.26","-0.11","1.29","1.29","1.000","0.00","0.05","1.03","0.51","84.32","23.00"
"3","Mike Smith","EDM","32","137.46666666667","4.2958333333333","10.91","10.48","0.960","0.44","0.38","0.64","1.31","1.31","1.000","0.00","0.25","4.8","4.36","0.909","0.44","0.02","0.87","0.87","1.000","0.00","0.03","1.31","0","80.80","30.00"
"26","Darcy Kuemper","ARI","27","146.95","5.4425925925926","10.21","9.8","0.960","0.41","0.36","0.77","3.27","2.86","0.875","0.41","0.21","0.41","0.41","1.000","0.00","0.04","2.45","2.45","1.000","0.00","0.09","1.63","0.41","68.88","13.00"
"50","Joonas Korpisalo","CBJ","33","120.66666666667","3.6565656565657","12.43","11.93","0.960","0.50","0.44","1.14","3.98","3.48","0.875","0.50","0.25","2.49","2.49","1.000","0.00","0.24","3.98","3.98","1.000","0.00","0.15","1.49","0.5","45.48","15.00"
"59","Juuse Saros","NSH","36","158.65","4.4069444444444","8.7","8.32","0.957","0.38","0.28","0.64","2.27","1.89","0.833","0.38","0.05","1.51","1.51","1.000","0.00","0.14","2.65","2.65","1.000","0.00","0.10","1.89","0.38","59.83","17.00"
"69","Kaapo Kahkonen","MIN","24","124.45","5.1854166666667","11.09","10.61","0.957","0.48","0.35","0.97","2.89","2.41","0.833","0.48","0.06","0.48","0.48","1.000","0.00","0.05","3.86","3.86","1.000","0.00","0.14","1.93","0.48","76.91","34.00"
"13","Tuukka Rask","BOS","24","103.9","4.3291666666667","12.7","12.13","0.955","0.58","0.38","1.3","6.35","5.77","0.909","0.58","0.62","0","0","-","0.00","0.00","2.31","2.31","1.000","0.00","0.08","4.62","0.58","66.00","11.00"
"29","Sergei Bobrovsky","FLA","31","174.8","5.6387096774194","14.42","13.73","0.952","0.69","0.40","0.85","3.78","3.43","0.909","0.34","0.37","2.75","2.75","1.000","0.00","0.26","3.43","3.09","0.900","0.34","-0.22","0.69","0.34","64.07","27.50"
"49","Chris Driedger","FLA","23","122.6","5.3304347826087","9.3","8.81","0.947","0.49","0.21","0.52","1.47","1.47","1.000","0.00","0.28","1.96","1.47","0.750","0.49","-0.30","1.96","1.96","1.000","0.00","0.07","1.47","0","75.89","24.00"
"63","Alex Nedeljkovic","CAR","23","94.883333333333","4.1253623188406","12.01","11.38","0.947","0.63","0.27","1.55","5.06","4.43","0.875","0.63","0.32","2.53","2.53","1.000","0.00","0.24","3.79","3.79","1.000","0.00","0.14","0.63","1.26","28.89","5.00"
"60","Tristan Jarry","PIT","39","154.86666666667","3.9709401709402","14.33","13.56","0.946","0.77","0.30","1.03","3.87","3.49","0.900","0.39","0.34","3.1","2.71","0.875","0.39","-0.09","3.1","3.1","1.000","0.00","0.11","1.55","0","61.22","20.00"
"11","Pekka Rinne","NSH","24","109.48333333333","4.5618055555556","9.32","8.77","0.941","0.55","0.15","0.84","2.19","1.64","0.750","0.55","-0.14","2.19","2.19","1.000","0.00","0.21","2.74","2.74","1.000","0.00","0.10","2.19","0","59.47","7.00"
"19","Jake Allen","MTL","29","137.43333333333","4.7390804597701","7.42","6.99","0.941","0.44","0.12","0.41","1.75","1.31","0.750","0.44","-0.11","1.31","1.31","1.000","0.00","0.13","1.31","1.31","1.000","0.00","0.05","0.44","0","74.88","17.00"
"22","Dustin Tokarski","BUF","13","60.783333333333","4.675641025641","16.78","15.79","0.941","0.99","0.27","1.2","4.94","3.95","0.800","0.99","-0.06","0","0","-","0.00","0.00","3.95","3.95","1.000","0.00","0.15","0.99","0","87.12","14.00"
"12","Carey Price","MTL","25","100.96666666667","4.0386666666667","8.91","8.32","0.933","0.59","0.08","0.39","1.78","1.19","0.667","0.59","-0.26","1.19","1.19","1.000","0.00","0.11","0.59","0.59","1.000","0.00","0.02","0.59","0.59","89.93","15.00"
"47","Andrei Vasilevskiy","T.B","42","203.65","4.8488095238095","8.84","8.25","0.933","0.59","0.07","0.51","2.36","2.06","0.875","0.29","0.15","2.65","2.36","0.889","0.29","-0.04","1.77","1.77","1.000","0.00","0.06","1.18","0.29","60.37","15.00"
