"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"5","Mikko Koivu","CBJ","C","5","0.23333333333333","0.046666666666667","-60.6","-20.83","-","-45.45","-13.26","-","-37.87","-11.36","-","-5.68","0","-","-3.24","-0.87","-","-20.83","-3.79","-","-3.79","0","-","0","0","-","-22.72","-5.05","-","-2.52","0","-100.00","-57.44","-24.62","-","-5.47","0","-100.00","-","-","-","0","0","0","257.14","-","0","0","0","-"
"689","Alex Formenton","OTT","L","16","0.15","0.009375","-80.97","-21.09","-","-64.1","-21.09","-","-44.7","-15.18","-","-5.06","-1.69","-","-6.15","-1.44","-","-55.67","-11.81","-","-23.62","-5.9","-","-4.22","-1.69","-","-42.74","-7.87","-","0","0","-","-31.68","-3.66","-","-1.22","0","-100.00","-","-","-","400","0","0","800","100.00","400","0","0","100.00"
"468","Juho Lammikko","FLA","C","21","3.5833333333333","0.17063492063492","-46.48","-21.2","17.98","-26.83","-19.14","19.89","-24.43","-15.52","21.13","-4.14","-1.03","-","-4.73","-1.74","20.73","-39.82","-8.79","-","-19.14","-3.62","-","-1.03","-0.52","-","-27.58","-6.9","-","-2.07","-0.69","-75.00","-55","-9.71","10.92","-2.24","0","-100.00","0.00","-","0.00","0","16.74","0","133.95","-","16.74","16.74","16.74","50.00"
"452","Tony DeAngelo","CAR, NYR","D","3","15.366666666667","5.1222222222222","90.96","-21.36","37.06","68.45","-21.36","46.00","45.02","-21.36","44.74","11.71","0","-","7.85","-1.07","33.72","65.46","-8.73","45.24","18.6","-12.63","50.00","0","0","-","62.47","5.21","-","5.21","0","100.00","36.83","0","0.00","11.28","0","100.00","16.67","100.00","1.167","35.14","7.81","0","3.9","100.00","54.66","7.81","0","100.00"
"626","Henrik Borgstrom","CHI","C","3","2.3833333333333","0.79444444444444","-3.13","-21.51","12.24","-35.63","-21.51","16.22","-21.29","-14.34","12.90","-7.17","0","-","4.9","-1.35","9.09","43.4","-7.17","8.00","18.08","-7.17","18.18","0","0","-","33.77","0","0.00","-4.78","0","-100.00","-67.22","-10.36","9.09","-5.18","0","-100.00","0.00","-","0.00","100.7","0","0","75.52","100.00","100.7","0","0","100.00"
"363","Buddy Robinson","CGY","R","3","0.05","0.016666666666667","-90.47","-21.84","-","-68.63","-18.72","-","-56.15","-15.6","-","-3.12","-3.12","-","-5.4","-0.59","-","-37.44","-6.24","-","-12.48","-3.12","-","0","-3.12","-","-33.28","-4.16","-","-4.16","0","-100.00","-76.6","-13.52","-","0","0","-","-","-","-","1200","0","0","0","100.00","1200","0","0","100.00"
"483","Clark Bishop","OTT","C","9","0.26666666666667","0.02962962962963","159.98","-22.61","25.81","171.29","-21.2","28.30","188.25","-14.13","27.78","-2.83","-1.41","-","3.73","-1.2","17.99","-43.82","-11.31","-","-24.03","-5.65","-","-1.41","-1.41","-","-26.38","-7.54","-","-1.88","0","-100.00","298.46","-8.17","23.53","0","0","-","0.00","-","0.00","0","0","0","225","-","0","0","0","-"
"772","Brogan Rafferty","VAN","D","1","0.56666666666667","0.56666666666667","-52.83","-22.64","-","-37.74","-22.64","-","-30.19","-22.64","-","-7.55","-15.09","-","-3.97","-2.4","-","-45.28","-22.64","-","-7.55","-7.55","-","0","-7.55","-","-50.31","-20.13","-","-10.06","-10.06","-50.00","-10.9","0","-","0","0","-","-","-","-","0","0","0","105.88","-","0","0","0","-"
"182","Kevin Connauton","FLA","D","5","0.26666666666667","0.053333333333333","-86.26","-23","-","-74.76","-23","-","-57.51","-21.09","-","-3.83","0","-","-5.86","-1.31","-","-38.34","-15.34","-","-17.25","-5.75","-","-1.92","0","-","-28.12","-12.78","-","-2.56","0","-100.00","-66.45","-11.08","-","0","0","-","-","-","-","0","0","0","225","-","0","0","0","-"
"610","Andrew Peeke","CBJ","D","9","0.33333333333333","0.037037037037037","-75.99","-23.75","-","-64.12","-21.37","-","-40.37","-16.62","-","-16.62","0","-","-4.5","-1.04","-","-35.62","-9.5","-","-14.25","-4.75","-","-7.12","0","-","-28.5","-6.33","-","-3.17","0","-100.00","-54.88","-10.29","-","-10.29","0","-100.00","-","-","-","0","180","0","0","-","0","360","0","-"
"449","Sonny Milano","ANA","L","5","6.9166666666667","1.3833333333333","-1.69","-24.28","20.00","-20.78","-24.28","25.00","-29.47","-17.34","23.81","-3.47","-6.94","-","-3.42","-2.56","29.00","-6.92","-10.4","20.00","-20.81","-6.94","-","-3.47","0","-","18.52","-4.62","14.29","0","-4.62","0.00","7.56","0","0.00","0","0","-","0.00","-","0.00","17.35","8.67","0","52.05","100.00","26.02","8.67","8.67","75.00"
"725","Kiefer Sherwood","COL","L","10","1.35","0.135","-127.3","-24.57","-","-100.5","-21.22","-","-73.7","-16.75","-","-8.93","-1.12","-","-10.39","-1.31","-","-73.7","-10.05","-","-32.38","-7.82","-","-5.58","-1.12","-","-55.09","-2.98","-","-2.98","0","-100.00","-75.81","-11.29","-","-1.61","0","-100.00","-","-","-","44.44","0","0","133.33","100.00","44.44","0","0","100.00"
"761","Antti Suomela","S.J","C","2","0.25","0.125","-136.49","-25.59","-","-110.9","-17.06","-","-76.78","-17.06","-","0","0","-","-11.49","-0.06","-","-102.37","0","-","-25.59","0","-","0","0","-","-102.37","0","-","0","0","-","-49.29","-12.32","-","0","0","-","-","-","-","0","0","0","240","-","0","0","0","-"
"431","Daniel Carr","WSH","L","5","0.083333333333333","0.016666666666667","-79.47","-26.49","-","-58.28","-21.19","-","-50.33","-13.25","-","-15.89","-2.65","-","-7.16","-1.27","-","-42.38","-10.6","-","-5.3","-2.65","-","-2.65","-2.65","-","-49.45","-10.6","-","-10.6","0","-100.00","-38.26","-19.13","-","-3.83","0","-100.00","-","-","-","0","720","0","0","-","0","720","0","-"
