"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"209","Riley Sheahan","BUF, SEA","C","28","64.266666666667","2.2952380952381","0.98","9.12","0.10","-0.79","15.12","-2.21","1.28","11.39","0.04","-1.13","5.31","-30.00","-0.15","0.43","-2.30","1.67","5.1","2.57","1.77","-3.2","7.83","0.93","4.57","14.29","-0.13","11.07","-1.64","0","-0.13","0.00","-3.27","5.94","-3.94","-1.49","1.21","-50.00","12.50","87.67","1.002","0","3.73","51.35","30.81","0.00","0","6.54","68.15","0.00"
"164","Tyson Barrie","EDM","D","31","5.8666666666667","0.18924731182796","36.34","8.9","18.75","37.5","14.15","20.82","18.61","3.33","16.11","-0.39","-7.79","-","1.6","-0.02","14.82","33.51","-0.66","31.94","17.34","-0.58","37.10","-0.39","-3.51","-","21.56","-0.12","27.78","0","-3.64","0.00","10.27","2.41","10.74","0","-2.25","0.00","0.00","100.00","1.000","0","0","10.23","92.05","0.00","10.23","0","20.45","33.33"
"429","Garnet Hathaway","WSH","R","32","41.4","1.29375","-1.35","8.85","-2.22","-0.47","7.48","-1.87","1.27","4.95","0.51","-1.39","-0.24","-18.75","-0.54","1.69","-8.25","-5.05","6.17","-9.95","-3.25","2.88","-12.28","-1.39","-0.87","-37.50","-2.4","4.38","-7.65","0","2.7","0.00","4.43","5.81","4.71","0","-2.01","0.00","0.00","86.67","0.867","1.45","4.35","11.59","81.16","11.11","1.45","5.8","14.49","9.09"
"570","Kevin Rooney","NYR","C","27","52.733333333333","1.9530864197531","-2.71","8.76","-3.16","0.42","7.66","-0.95","-1.12","4.5","-2.66","0.4","4.1","-7.27","0.02","0.66","-1.01","-3.8","9.68","-7.18","0.06","2.93","-1.51","0.51","2.05","0.00","-5.15","8.99","-12.67","-0.83","4.4","-33.33","3.87","0.49","5.59","0","-1.81","0.00","20.00","83.67","1.037","4.55","7.96","34.13","52.34","11.76","6.83","10.24","42.1","13.95"
"536","Gabriel Carlsson","CBJ","D","8","2.8333333333333","0.35416666666667","-32.88","8.75","-25.29","-31.38","7","-28.77","-28.39","-37.1","-32.76","-4.48","9.22","-27.27","-1.46","-1.14","-18.28","-14.94","0.51","-26.32","-7.47","-14.94","-","-2.99","-5.98","-","-9.96","20.61","-21.74","-1.99","22.26","-25.00","-15.11","14.06","-16.28","0","-2.16","0.00","-","0.00","0.00","0","21.18","0","84.71","-","0","21.18","0","-"
"589","Brett Howden","NYR, VGK","C","25","51.916666666667","2.0766666666667","-4.22","8.71","-4.62","-3.22","-0.5","-3.24","-4.54","-1.38","-6.28","-0.28","3.79","-12.50","-0.06","-0.31","-0.03","-1.23","8.86","-3.94","-0.68","0.17","-1.95","-1.43","-0.12","-28.57","-0.74","11.59","-4.14","0","6.16","0.00","-4.14","-0.85","-6.90","0","-1.04","0.00","16.67","82.93","0.996","2.31","5.78","38.14","55.47","5.71","4.62","9.25","47.38","8.89"
"172","Casey Cizikas","NYI","C","28","37.983333333333","1.3565476190476","-10.59","8.7","-9.40","-10.59","4.55","-11.41","-9","-0.65","-12.45","-3.17","1.05","-60.00","-0.73","-1.33","-6.82","-8.46","-4.36","-12.08","-5.29","-9.02","-8.48","-2.11","-1.06","-","-4.22","6.21","-10.00","0","0.7","0.00","-3.82","18.1","-6.97","-1.53","2.28","-100.00","0.00","92.59","0.926","4.74","6.32","50.55","30.01","8.57","6.32","9.48","60.03","9.52"
"91","Colton Sceviour","EDM, PIT","C, R","24","33.05","1.3770833333333","-0.52","8.58","-1.41","0.74","11.22","-1.12","3.26","-3.42","5.02","-0.07","3.48","-13.33","-0.4","1.35","-6.84","-0.22","13.67","-3.56","-1.96","4.85","-11.67","-1.89","1.74","-50.00","2.32","11.75","2.63","2.42","0","100.00","-3.75","-3.7","-4.44","0","2.51","0.00","14.29","86.21","1.005","1.82","1.82","19.97","68.99","8.33","3.63","5.45","21.79","14.29"
"81","Kevin Shattenkirk","ANA","D","30","20.833333333333","0.69444444444444","0.01","8.5","-1.05","1.31","0.64","1.20","3.49","2.81","3.47","-0.44","-1.66","-5.56","0.84","-0.87","11.20","3.84","5.08","4.53","6.46","-14.65","35.16","-0.44","-1.48","-9.09","-3.49","26.31","-8.22","0","-2.91","0.00","0.38","3.29","0.19","0","2.9","0.00","0.00","89.47","0.895","2.88","2.88","28.8","57.6","9.09","5.76","2.88","46.08","11.11"
"351","Matthew Benning","NSH","D","30","60.85","2.0283333333333","6.28","8.39","4.55","7.64","11.3","6.18","4.06","9.09","3.60","-0.37","2.09","-6.67","0.33","1.4","1.41","1.78","7.8","0.69","0.18","2.21","-2.12","-0.37","3.2","-19.05","2.14","7.46","3.94","0","1.23","0.00","0.8","0.94","0.98","0","-1.96","0.00","9.09","83.93","0.930","0.99","8.87","27.61","44.37","3.45","1.97","14.79","41.41","4.55"
