"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"15","Los Angeles Kings","28","4.4274","9","14","5","9","23","0.411","8.23","109.38","7.00","7.74","83.25","8.51","6.78","59.05","10.29","0.97","7.74","11.11","0.69","7.15","8.77","4.84","55.66","8.00","4.36","32.43","11.84","0.97","4.84","16.67","22.22","85.07","2.42","19.84","10.87","2.42","13.07","15.63","0.48","2.42","16.67","20.00","81.48","2.42","35.82","6.33","1.94","19.36","9.09","0.48","2.42","16.67","25.00","87.50","0.97","52.27","1.82","0","26.62","0.00","0","2.9","0.00","-","89.09","14.29","86.89","1.012"
"16","Ottawa Senators","28","5.144","14","10","4","13","32","0.571","16.25","90.81","15.18","15","68.73","17.91","12.91","50.4","20.39","1.25","5","20.00","1.21","5.73","17.47","10","52.07","16.11","8.33","29.58","21.98","1.25","3.75","25.00","15.00","87.32","5.83","19.16","23.33","5.42","11.66","31.71","1.25","1.25","50.00","23.08","89.29","4.17","32.91","11.24","2.92","17.91","14.00","0","2.5","0.00","0.00","86.05","2.92","37.91","7.14","1.25","20.83","5.66","0","1.25","0.00","0.00","94.00","9.68","90.08","0.998"
"17","Calgary Flames","28","4.4625","15","12","1","15","31","0.554","16.33","93.64","14.85","13.45","70.11","16.09","9.6","51.38","15.75","0.48","7.68","5.88","0.87","6.54","11.73","7.2","54.74","11.63","5.28","33.13","13.75","0.48","6.72","6.67","9.09","79.71","3.36","18.73","15.22","3.36","13.45","20.00","0.48","3.36","12.50","14.29","75.00","3.84","36.01","9.64","1.92","19.69","8.89","0","3.36","0.00","0.00","82.93","5.28","38.9","11.96","1.92","18.25","9.52","0","0.96","0.00","0.00","94.74","5.00","85.05","0.900"
"18","Pittsburgh Penguins","28","4.9988","22","4","2","20","46","0.821","13.29","92.16","12.60","10.72","72.02","12.95","9","56.16","13.82","1.71","5.14","25.00","0.81","6.4","11.20","6.43","43.3","12.93","4.29","30.44","12.35","1.71","3.43","33.33","40.00","88.73","3.43","18.86","15.38","3","17.58","14.58","1.29","3","30.00","42.86","82.93","3","24.43","10.94","1.29","12.86","9.09","0.43","0.43","50.00","33.33","96.67","3.86","47.15","7.56","2.14","25.29","7.81","0","1.71","0.00","0.00","93.22","19.05","90.84","1.099"
"19","New York Islanders","28","3.5256","21","4","3","18","45","0.804","15.2","90.56","14.37","15.2","65.64","18.80","12.76","41.33","23.60","1.82","2.43","42.86","0.95","5.61","14.49","7.9","48.02","14.13","7.29","21.27","25.53","1.22","1.82","40.00","16.67","91.43","6.08","18.84","24.39","5.47","13.98","28.13","1.22","0.61","66.67","22.22","95.65","1.82","29.17","5.88","1.82","7.29","20.00","0","1.22","0.00","0.00","83.33","3.04","41.33","6.85","1.22","19.45","5.88","0.61","0.61","50.00","50.00","96.88","14.29","94.12","1.084"
"20","St Louis Blues","28","4.7458","12","11","5","12","29","0.518","11.29","99.79","10.16","11.29","76.31","12.89","9.03","53.73","14.39","0.45","7.68","5.56","0.42","7.27","5.48","4.06","48.76","7.69","2.26","27.54","7.58","0.45","7.68","5.56","20.00","72.13","2.26","21.67","9.43","0.9","12.64","6.67","0.45","4.52","9.09","50.00","64.29","1.81","27.09","6.25","1.35","14.9","8.33","0","3.16","0.00","0.00","78.79","2.71","47.41","5.41","2.26","25.74","8.06","0","0","-","0.00","100.00","5.00","85.71","0.907"
"21","Anaheim Ducks","28","5.0673","6","18","4","5","16","0.286","15.22","87.11","14.88","13.96","65.97","17.46","11.84","49.48","19.31","0.42","7.61","5.26","0.68","6.84","8.99","5.92","54.97","9.72","4.65","35.95","11.46","0.42","6.34","6.25","9.09","82.35","3.38","24.95","11.94","2.96","18.18","14.00","0.42","4.23","9.09","14.29","76.74","2.54","30.02","7.79","1.69","17.76","8.70","0","2.11","0.00","0.00","88.10","2.96","30.45","8.86","1.69","13.53","11.11","0","1.27","0.00","0.00","90.63","3.57","84.62","0.882"
"22","Vancouver Canucks","28","6.0018","13","12","3","11","29","0.518","15.35","97.47","13.61","14.28","78.55","15.38","11.43","59.27","16.16","1.43","6.78","17.39","0.83","7.35","10.13","5.36","56.77","8.62","3.57","37.13","8.77","0.71","4.28","14.29","20.00","88.46","1.79","21.42","7.69","1.43","16.78","7.84","0","2.86","0.00","0.00","82.98","3.57","35.35","9.17","2.14","20.35","9.52","0.71","1.43","33.33","33.33","92.98","4.64","39.63","10.48","3.21","21.78","12.86","0.36","2.5","12.50","11.11","88.52","12.50","88.55","1.011"
"23","Boston Bruins","28","5.6417","18","7","3","15","39","0.696","17.47","78.62","18.18","16.71","61.53","21.36","15.19","45.58","25.00","1.52","4.56","25.00","0.9","4.5","16.60","7.98","38.36","17.21","6.84","24.31","21.95","1.14","3.8","23.08","16.67","84.38","3.42","11.39","23.08","3.04","9.5","24.24","0.76","2.28","25.00","25.00","76.00","4.56","26.97","14.46","3.8","14.81","20.41","0.38","1.52","20.00","10.00","89.74","3.42","38.36","8.18","2.28","20.89","9.84","0","0.76","0.00","0.00","96.36","10.00","90.00","1.000"
"24","Carolina Hurricanes","28","5.1964","20","3","5","19","45","0.804","19.79","69.69","22.12","18.14","49.9","26.67","13.61","37.53","26.61","1.65","2.89","36.36","1.75","4.84","26.57","9.07","30.1","23.16","6.19","18.56","25.00","0.82","2.89","22.22","13.33","84.44","6.19","14.02","30.61","4.54","8.66","34.38","0.41","1.24","25.00","9.09","85.71","2.89","16.08","15.22","1.65","9.9","14.29","0.41","1.65","20.00","25.00","83.33","3.71","35.05","9.57","2.47","18.14","12.00","0.41","0","100.00","16.67","100.00","12.12","92.31","1.044"
"25","Columbus Blue Jackets","28","4.0298","11","9","8","9","30","0.536","20.21","88.27","18.63","18.61","67","21.74","17.02","46.26","26.89","2.13","9.57","18.18","0.9","5.83","13.36","9.57","37.22","20.45","7.98","24.46","24.59","1.6","8.51","15.79","20.00","65.22","5.85","13.29","30.56","5.32","11.17","32.26","1.06","5.32","16.67","20.00","52.38","3.72","23.93","13.46","2.66","13.29","16.67","0.53","3.19","14.29","20.00","76.00","5.85","47.86","10.89","4.25","21.8","16.33","0.53","1.06","33.33","12.50","95.12","12.50","79.31","0.918"
"26","Washington Capitals","28","5.3851","17","8","3","16","37","0.661","12.73","85.16","13.01","10.74","62.08","14.75","7.16","36.61","16.36","0.4","5.57","6.67","0.42","6.21","6.32","4.38","44.57","8.94","2.39","20.69","10.34","0.4","4.38","8.33","16.67","78.85","1.19","22.28","5.08","0.8","11.54","6.45","0.4","1.59","20.00","50.00","86.21","3.18","22.28","12.50","1.59","9.15","14.81","0","2.79","0.00","0.00","69.57","4.78","38.6","11.01","1.59","15.92","9.09","0","1.19","0.00","0.00","92.50","5.56","84.78","0.903"
"27","Chicago Blackhawks","28","4.2167","13","11","4","12","30","0.536","16.77","98.59","14.54","15.75","72.16","17.92","14.74","58.95","20.00","1.02","9.15","10.00","1.51","6.42","19.01","10.67","53.87","16.54","9.66","33.03","22.62","0.51","6.1","7.69","5.26","81.54","5.08","19.31","20.83","5.08","14.74","25.64","0","4.57","0.00","0.00","68.97","5.59","34.56","13.92","4.57","18.29","20.00","0.51","1.52","25.00","11.11","91.67","2.54","44.21","5.43","2.03","25.92","7.27","0","3.05","0.00","0.00","88.24","6.90","84.48","0.914"
"28","Minnesota Wild","28","5.6167","21","5","2","21","44","0.786","11.45","87.75","11.54","10.68","60.66","14.97","8.39","44.64","15.83","0","6.1","0.00","0.51","4.8","9.67","3.82","34.34","10.00","3.05","21.75","12.31","0","5.72","0.00","0.00","73.68","0.76","12.97","5.56","0.76","9.54","7.41","0","1.91","0.00","0.00","80.00","3.05","21.36","12.50","2.29","12.21","15.79","0","3.82","0.00","0.00","68.75","4.2","47.69","8.09","1.91","22.51","7.81","0","0.38","0.00","0.00","98.31","0.00","86.32","0.863"
"29","Dallas Stars","28","5.3214","13","7","8","12","34","0.607","14.9","93.83","13.70","13.29","68.05","16.34","11.68","45.5","20.42","0.81","8.05","9.09","0.45","5.93","7.04","5.23","43.89","10.66","2.82","26.17","9.72","0.81","7.25","10.00","28.57","72.31","0.81","16.11","4.76","0.4","11.68","3.33","0.4","4.43","8.33","100.00","62.07","4.43","27.79","13.75","2.42","14.5","14.29","0.4","2.82","12.50","16.67","80.56","2.42","45.91","5.00","2.01","18.93","9.62","0","0.81","0.00","0.00","95.74","6.90","82.30","0.892"
"30","Montreal Canadiens","28","4.4387","13","11","4","12","30","0.536","23.17","88.83","20.69","19.79","71.45","21.69","16.41","53.1","23.61","1.93","8.69","18.18","1.13","5.7","16.59","12.07","43.93","21.55","8.69","28.48","23.38","1.45","4.83","23.08","16.67","83.05","4.34","18.83","18.75","3.38","15.45","17.95","0.97","3.38","22.22","28.57","78.13","7.72","25.1","23.53","5.31","13.03","28.95","0.48","1.45","25.00","9.09","88.89","6.76","43.45","13.46","3.86","24.62","13.56","0.48","3.86","11.11","12.50","84.31","11.76","83.64","0.954"
"31","San Jose Sharks","28","5.0732","11","13","4","10","26","0.464","19.43","92.08","17.42","15.21","71.81","17.48","10.98","47.31","18.84","0.42","5.91","6.67","0.65","6.06","9.67","6.76","40.97","14.16","2.11","24.08","8.06","0.42","4.65","8.33","20.00","80.70","3.8","19.01","16.67","1.27","13.09","8.82","0.42","2.96","12.50","33.33","77.42","2.96","21.96","11.86","0.84","10.98","7.14","0","1.69","0.00","0.00","84.62","5.07","48.15","9.52","2.11","22.39","8.62","0","1.27","0.00","0.00","94.34","3.85","87.50","0.913"
