Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
ANDREAS BORGMANDT.B20-21,Andreas Borgman,D,T.B,20-21,Penalty Kill,ANDREAS BORGMAN,7,20202021,0.883333333,2.88%,31.92%,27.60%
URHO VAAKANAINENDBOS20-21,Urho Vaakanainen,D,BOS,20-21,Penalty Kill,URHO VAAKANAINEN,9,20202021,16.51666667,36.46%,43.47%,30.11%
GAVIN BAYREUTHERDCBJ20-21,Gavin Bayreuther,D,CBJ,20-21,Penalty Kill,GAVIN BAYREUTHER,9,20202021,2.916666667,7.91%,53.85%,22.32%
WILLIAM BORGENDBUF20-21,William Borgen,D,BUF,20-21,Penalty Kill,WILLIAM BORGEN,10,20202021,14.11666667,38.36%,50.13%,42.03%
ZAC JONESDNYR20-21,Zac Jones,D,NYR,20-21,Penalty Kill,ZAC JONES,10,20202021,2.233333333,4.12%,35.20%,22.16%
ANDREW PEEKEDCBJ20-21,Andrew Peeke,D,CBJ,20-21,Penalty Kill,ANDREW PEEKE,11,20202021,3.516666667,8.68%,39.40%,34.55%
CONNOR CARRICKDN.J20-21,Connor Carrick,D,N.J,20-21,Penalty Kill,CONNOR CARRICK,11,20202021,4.1,13.86%,44.55%,33.00%
MATTIAS SAMUELSSONDBUF20-21,Mattias Samuelsson,D,BUF,20-21,Penalty Kill,MATTIAS SAMUELSSON,12,20202021,21.61666667,51.33%,55.61%,41.09%
SCOTT HARRINGTONDCBJ20-21,Scott Harrington,D,CBJ,20-21,Penalty Kill,SCOTT HARRINGTON,12,20202021,17.88333333,34.06%,46.99%,29.90%
LUCAS CARLSSONDCHI20-21,Lucas Carlsson,D,CHI,20-21,Penalty Kill,LUCAS CARLSSON,12,20202021,10.51666667,18.17%,44.27%,34.66%
BRAD HUNTDMIN20-21,Brad Hunt,D,MIN,20-21,Penalty Kill,BRAD HUNT,12,20202021,1.65,2.47%,39.93%,24.41%
CARL GUNNARSSONDSTL20-21,Carl Gunnarsson,D,STL,20-21,Penalty Kill,CARL GUNNARSSON,12,20202021,30.45,46.87%,46.47%,41.78%
JAKE MCCABEDBUF20-21,Jake Mccabe,D,BUF,20-21,Penalty Kill,JAKE MCCABE,13,20202021,30.15,62.02%,52.86%,45.16%
GREG PATERYNDCOL/MIN/S.J20-21,Greg Pateryn,D,COL/MIN/S.J,20-21,Penalty Kill,GREG PATERYN,13,20202021,30.2,40.44%,42.22%,37.14%
ALEX BIEGADDET20-21,Alex Biega,D,DET,20-21,Penalty Kill,ALEX BIEGA,13,20202021,14.36666667,22.59%,45.61%,37.74%
GUSTAV LINDSTROMDDET20-21,Gustav Lindstrom,D,DET,20-21,Penalty Kill,GUSTAV LINDSTROM,13,20202021,20.01666667,34.16%,45.79%,36.70%
AUSTIN STRANDDL.A20-21,Austin Strand,D,L.A,20-21,Penalty Kill,AUSTIN STRAND,13,20202021,4.516666667,6.93%,46.14%,29.94%
JACK JOHNSONDNYR20-21,Jack Johnson,D,NYR,20-21,Penalty Kill,JACK JOHNSON,13,20202021,25.2,35.37%,47.11%,34.08%
GABRIEL CARLSSONDCBJ20-21,Gabriel Carlsson,D,CBJ,20-21,Penalty Kill,GABRIEL CARLSSON,14,20202021,4.416666667,6.32%,53.41%,40.45%
EVAN BOUCHARDDEDM20-21,Evan Bouchard,D,EDM,20-21,Penalty Kill,EVAN BOUCHARD,14,20202021,3.766666667,5.00%,49.37%,37.63%
ANTHONY BITETTODNYR20-21,Anthony Bitetto,D,NYR,20-21,Penalty Kill,ANTHONY BITETTO,14,20202021,8.316666667,9.11%,41.27%,27.82%
JONAS SIEGENTHALERDN.J/WSH20-21,Jonas Siegenthaler,D,N.J/WSH,20-21,Penalty Kill,JONAS SIEGENTHALER,15,20202021,31.41666667,45.59%,54.50%,36.93%
JEREMY DAVIESDNSH20-21,Jeremy Davies,D,NSH,20-21,Penalty Kill,JEREMY DAVIES,16,20202021,2.45,2.98%,31.33%,21.04%
PIERRE-OLIVIER JOSEPHDPIT20-21,Pierre-olivier Joseph,D,PIT,20-21,Penalty Kill,PIERRE-OLIVIER JOSEPH,16,20202021,8.9,12.32%,42.88%,40.05%
CHAD RUHWEDELDPIT20-21,Chad Ruhwedel,D,PIT,20-21,Penalty Kill,CHAD RUHWEDEL,17,20202021,27.05,33.89%,53.91%,39.34%
NICK HOLDENDVGK20-21,Nick Holden,D,VGK,20-21,Penalty Kill,NICK HOLDEN,17,20202021,10.95,14.12%,41.14%,27.58%
HAMPUS LINDHOLMDANA20-21,Hampus Lindholm,D,ANA,20-21,Penalty Kill,HAMPUS LINDHOLM,18,20202021,31.33333333,33.93%,44.92%,34.90%
DAN RENOUFDCOL20-21,Dan Renouf,D,COL,20-21,Penalty Kill,DAN RENOUF,18,20202021,7.016666667,7.54%,41.59%,33.97%
SLATER KOEKKOEKDEDM20-21,Slater Koekkoek,D,EDM,20-21,Penalty Kill,SLATER KOEKKOEK,18,20202021,34.56666667,37.26%,48.24%,35.65%
KALE CLAGUEDL.A20-21,Kale Clague,D,L.A,20-21,Penalty Kill,KALE CLAGUE,18,20202021,19.85,22.27%,42.39%,29.31%
CHRISTIAN WOLANINDOTT/L.A20-21,Christian Wolanin,D,OTT/L.A,20-21,Penalty Kill,CHRISTIAN WOLANIN,18,20202021,3.266666667,4.54%,44.09%,37.35%
JALEN CHATFIELDDVAN20-21,Jalen Chatfield,D,VAN,20-21,Penalty Kill,JALEN CHATFIELD,18,20202021,12.83333333,12.91%,34.23%,32.94%
BOWEN BYRAMDCOL20-21,Bowen Byram,D,COL,20-21,Penalty Kill,BOWEN BYRAM,19,20202021,6.683333333,6.79%,40.13%,32.43%
WILLIAM LAGESSONDEDM20-21,William Lagesson,D,EDM,20-21,Penalty Kill,WILLIAM LAGESSON,19,20202021,22.51666667,24.00%,47.93%,37.19%
ALEX CARRIERDNSH20-21,Alex Carrier,D,NSH,20-21,Penalty Kill,ALEX CARRIER,19,20202021,31.03333333,35.07%,50.94%,40.89%
BRAYDON COBURNDOTT/NYI20-21,Braydon Coburn,D,OTT/NYI,20-21,Penalty Kill,BRAYDON COBURN,19,20202021,48.2,44.63%,55.21%,42.34%
STEVEN KAMPFERDBOS20-21,Steven Kampfer,D,BOS,20-21,Penalty Kill,STEVEN KAMPFER,20,20202021,19.78333333,18.57%,47.30%,32.32%
TREVOR VAN RIEMSDYKDWSH20-21,Trevor Van Riemsdyk,D,WSH,20-21,Penalty Kill,TREVOR VAN RIEMSDYK,20,20202021,34.03333333,33.57%,47.79%,35.64%
JARRED TINORDIDBOS/NSH20-21,Jarred Tinordi,D,BOS/NSH,20-21,Penalty Kill,JARRED TINORDI,21,20202021,61.93333333,52.02%,53.95%,35.69%
MICHAEL STONEDCGY20-21,Michael Stone,D,CGY,20-21,Penalty Kill,MICHAEL STONE,21,20202021,31.25,34.31%,45.92%,29.38%
WYATT KALYNUKDCHI20-21,Wyatt Kalynuk,D,CHI,20-21,Penalty Kill,WYATT KALYNUK,21,20202021,6.233333333,7.47%,46.34%,22.86%
RILEY STILLMANDCHI/FLA20-21,Riley Stillman,D,CHI/FLA,20-21,Penalty Kill,RILEY STILLMAN,21,20202021,22.28333333,24.61%,40.48%,29.36%
MATT TENNYSONDN.J20-21,Matt Tennyson,D,N.J,20-21,Penalty Kill,MATT TENNYSON,21,20202021,22.78333333,23.86%,44.07%,33.78%
MARK BOROWIECKIDNSH20-21,Mark Borowiecki,D,NSH,20-21,Penalty Kill,MARK BOROWIECKI,22,20202021,43.43333333,35.80%,50.35%,37.69%
JOSH MANSONDANA20-21,Josh Manson,D,ANA,20-21,Penalty Kill,JOSH MANSON,23,20202021,59.16666667,48.42%,48.11%,35.11%
OLLI JUOLEVIDVAN20-21,Olli Juolevi,D,VAN,20-21,Penalty Kill,OLLI JUOLEVI,23,20202021,19.1,12.78%,41.82%,40.36%
JAMIE DRYSDALEDANA20-21,Jamie Drysdale,D,ANA,20-21,Penalty Kill,JAMIE DRYSDALE,24,20202021,19.93333333,15.79%,47.73%,29.91%
MATT IRWINDBUF20-21,Matt Irwin,D,BUF,20-21,Penalty Kill,MATT IRWIN,24,20202021,44.75,42.88%,49.35%,39.05%
JAKE WALMANDSTL20-21,Jake Walman,D,STL,20-21,Penalty Kill,JAKE WALMAN,24,20202021,25.48333333,23.55%,46.66%,34.67%
NATHAN BEAULIEUDWPG20-21,Nathan Beaulieu,D,WPG,20-21,Penalty Kill,NATHAN BEAULIEU,25,20202021,40.5,39.00%,49.09%,40.08%
MIKKO LEHTONENDCBJ/TOR20-21,Mikko Lehtonen,D,CBJ/TOR,20-21,Penalty Kill,MIKKO LEHTONEN,26,20202021,16.7,12.69%,46.73%,26.83%
JOSH BROWNDOTT20-21,Josh Brown,D,OTT,20-21,Penalty Kill,JOSH BROWN,26,20202021,54.95,35.65%,49.86%,38.53%
BRANDON CARLODBOS20-21,Brandon Carlo,D,BOS,20-21,Penalty Kill,BRANDON CARLO,27,20202021,69.85,51.75%,48.26%,37.13%
KEVAN MILLERDBOS20-21,Kevan Miller,D,BOS,20-21,Penalty Kill,KEVAN MILLER,28,20202021,64.26666667,46.96%,51.01%,36.58%
KURTIS MACDERMIDDL.A20-21,Kurtis Macdermid,D,L.A,20-21,Penalty Kill,KURTIS MACDERMID,28,20202021,36.03333333,26.74%,43.83%,29.62%
VICTOR METEDMTL/OTT20-21,Victor Mete,D,MTL/OTT,20-21,Penalty Kill,VICTOR METE,28,20202021,24.06666667,17.66%,46.41%,38.03%
DYLAN COGHLANDVGK20-21,Dylan Coghlan,D,VGK,20-21,Penalty Kill,DYLAN COGHLAN,29,20202021,2.283333333,2.06%,39.88%,33.10%
MARKUS NUTIVAARADFLA20-21,Markus Nutivaara,D,FLA,20-21,Penalty Kill,MARKUS NUTIVAARA,30,20202021,9.8,6.75%,41.60%,33.26%
