"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"93","Yannick Weber","PIT","D","2","0.066666666666667","0.033333333333333","0","900","0.00","0","900","0.00","0","900","0.00","0","0","-","0","29.95","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1300","0.00","0","0","-","-","100.00","1.00","0","0","0","0","-","0","0","0","-"
"840","Josh Dunne","CBJ","C","6","0.13333333333333","0.022222222222222","0","450","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","650","0.00","0","0","-","-","-","-","900","0","0","0","100.00","900","0","0","100.00"
"133","Greg Pateryn","COL, MIN, S.J","D","13","0.43333333333333","0.033333333333333","138.46","276.92","33.33","138.46","276.92","33.33","138.46","276.92","33.33","0","0","-","10.77","13.05","45.21","0","138.46","0.00","0","138.46","0.00","0","0","-","0","0","-","0","0","-","200","0","100.00","0","0","-","0.00","100.00","1.000","0","0","0","415.38","-","0","0","0","-"
"263","Steven Fogarty","BUF","C","9","0.21666666666667","0.024074074074074","0","276.92","0.00","0","276.92","0.00","0","276.92","0.00","0","0","-","0","0.37","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","276.92","-","0","0","0","-"
"474","Ryan MacInnis","CBJ","C","16","0.21666666666667","0.013541666666667","0","276.92","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","400","0.00","0","0","-","-","-","-","0","0","0","553.85","-","0","0","0","-"
"70","Michael Frolik","MTL","R","8","0.23333333333333","0.029166666666667","0","257.14","0.00","0","257.14","0.00","0","257.14","0.00","0","0","-","0","0.11","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","257.14","0","0","-","0","257.14","0","-"
"800","Nolan Foote","N.J","L","6","0.36666666666667","0.061111111111111","0","163.64","0.00","0","163.64","0.00","0","163.64","0.00","0","0","-","0","25.6","0.00","0","163.64","0.00","0","163.64","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","163.64","-","0","0","0","-"
"165","Brayden McNabb","VGK","D","41","0.81666666666667","0.019918699186992","146.94","146.94","50.00","73.47","146.94","33.33","73.47","146.94","33.33","0","0","-","5.3","2.78","65.55","73.47","0","100.00","73.47","0","100.00","0","0","-","0","0","-","0","0","-","0","106.12","0.00","0","0","-","0.00","100.00","1.000","146.94","0","0","293.88","100.00","146.94","0","0","100.00"
"398","Ryan Graves","COL","D","54","3.4166666666667","0.063271604938272","52.68","105.37","33.33","52.68","87.8","37.50","52.68","52.68","50.00","0","0","-","11.26","3.65","75.50","35.12","70.24","33.33","35.12","52.68","40.00","0","0","-","0","23.41","0.00","0","0","-","25.37","50.73","33.33","0","0","-","0.00","100.00","1.000","70.24","52.68","17.56","87.8","80.00","87.8","52.68","35.12","71.43"
"256","Tobias Rieder","BUF","L","44","1.8833333333333","0.04280303030303","0","95.58","0.00","0","63.72","0.00","0","63.72","0.00","0","0","-","0","0.14","0.00","0","31.86","0.00","0","0","-","0","0","-","0","42.48","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","31.86","95.58","0","127.43","100.00","31.86","95.58","31.86","50.00"
