"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"18","Florida Panthers","56","2805.8833","37","14","5","36","79","0.705","2662","2323","53.40","2081","1799","53.63","1589","1363","53.83","143","113","55.86","124.1","102.3","54.81","1261","1063","54.26","851","702","54.80","113","95","54.33","13.28","86.47","495","422","53.98","409","342","54.46","75","68","52.45","18.34","80.12","766","641","54.44","442","360","55.11","38","27","58.46","8.60","92.50","1221","1094","52.74","659","596","52.51","25","16","60.98","3.79","97.32","9.00","91.71","1.007"
"19","Carolina Hurricanes","56","2859.75","36","12","8","32","80","0.714","2775","2383","53.80","2104","1832","53.46","1505","1330","53.09","126","102","55.26","134.13","111.83","54.53","1351","1158","53.85","818","734","52.71","102","85","54.55","12.47","88.42","583","485","54.59","429","371","53.63","73","59","55.30","17.02","84.10","768","673","53.30","389","363","51.73","29","26","52.73","7.46","92.84","1225","1034","54.23","626","534","53.97","19","14","57.58","3.04","97.38","8.37","92.33","1.007"
"20","Detroit Red Wings","56","2877.6333","19","27","10","17","48","0.429","2254","2664","45.83","1733","2048","45.83","1298","1498","46.42","108","130","45.38","102.87","112.85","47.69","1052","1232","46.06","657","759","46.40","86","107","44.56","13.09","85.90","424","482","46.80","339","361","48.43","58","70","45.31","17.11","80.61","628","750","45.57","318","398","44.41","28","37","43.08","8.81","90.70","1004","1238","44.78","554","676","45.04","18","17","51.43","3.25","97.49","8.32","91.32","0.996"
"21","Columbus Blue Jackets","56","2969.6333","18","26","12","15","48","0.429","2462","2830","46.52","1893","2141","46.93","1416","1589","47.12","110","154","41.67","100.69","124.41","44.73","1098","1305","45.69","696","814","46.09","86","124","40.95","12.36","84.77","418","515","44.80","312","401","43.76","57","83","40.71","18.27","79.30","680","790","46.26","384","413","48.18","29","41","41.43","7.55","90.07","1164","1337","46.54","660","700","48.53","22","25","46.81","3.33","96.43","7.77","90.31","0.981"
"22","Nashville Predators","56","2847.3833","31","23","2","26","64","0.571","2546","2565","49.81","1985","1941","50.56","1414","1472","49.00","116","110","51.33","104.32","111.92","48.24","1194","1169","50.53","748","743","50.17","94","85","52.51","12.57","88.56","475","458","50.91","372","355","51.17","62","56","52.54","16.67","84.23","719","711","50.28","376","388","49.21","32","29","52.46","8.51","92.53","1187","1221","49.29","615","665","48.05","20","21","48.78","3.25","96.84","8.20","92.53","1.007"
"23","Calgary Flames","56","2795.3","26","27","3","25","55","0.491","2617","2325","52.95","1977","1784","52.57","1386","1294","51.72","121","119","50.42","110.86","98.41","52.97","1244","1101","53.05","751","675","52.66","100","102","49.50","13.32","84.89","480","419","53.39","353","321","52.37","58","64","47.54","16.43","80.06","764","682","52.84","398","354","52.93","42","38","52.50","10.55","89.27","1186","1057","52.88","575","553","50.98","17","11","60.71","2.96","98.01","8.73","90.80","0.995"
"24","Winnipeg Jets","56","2838.85","30","23","3","30","63","0.563","2451","2615","48.38","1837","1968","48.28","1351","1406","49.00","130","120","52.00","106.93","123.57","46.39","1225","1320","48.13","711","785","47.53","119","106","52.89","16.74","86.50","449","563","44.37","335","404","45.33","79","71","52.67","23.58","82.43","776","757","50.62","376","381","49.67","40","35","53.33","10.64","90.81","1066","1119","48.79","573","558","50.66","7","9","43.75","1.22","98.39","9.62","91.47","1.011"
"25","San Jose Sharks","56","2828.9833","21","28","7","16","49","0.438","2531","2746","47.96","1925","2052","48.40","1390","1477","48.48","118","156","43.07","121.22","122.93","49.65","1312","1316","49.92","820","790","50.93","96","126","43.24","11.71","84.05","551","557","49.73","425","394","51.89","65","82","44.22","15.29","79.19","761","759","50.07","395","396","49.94","31","44","41.33","7.85","88.89","1044","1239","45.73","520","621","45.57","18","26","40.91","3.46","95.81","8.49","89.44","0.979"
"26","Arizona Coyotes","56","2815.7","24","26","6","21","54","0.482","2446","2580","48.67","1834","1937","48.63","1286","1390","48.06","111","138","44.58","109.21","119.42","47.77","1118","1301","46.22","676","775","46.59","97","114","45.97","14.35","85.29","481","522","47.96","347","375","48.06","54","69","43.90","15.56","81.60","637","779","44.99","329","400","45.13","43","45","48.86","13.07","88.75","1156","1114","50.93","556","552","50.18","13","16","44.83","2.34","97.10","8.63","90.07","0.987"
"27","Anaheim Ducks","56","2886.5333","17","30","9","15","43","0.384","2495","2608","48.89","1828","1977","48.04","1268","1431","46.98","111","139","44.40","101.7","121.06","45.66","1159","1314","46.87","688","827","45.41","94","123","43.32","13.66","85.13","466","552","45.78","339","414","45.02","60","89","40.27","17.70","78.50","693","762","47.63","349","413","45.80","34","34","50.00","9.74","91.77","1111","1137","49.42","496","561","46.93","16","12","57.14","3.23","97.86","8.75","90.29","0.990"
"28","Vegas Golden Knights","56","2855.3667","40","14","2","39","82","0.732","2872","2497","53.49","2088","1791","53.83","1483","1294","53.40","155","101","60.55","132.61","110.93","54.45","1446","1217","54.30","845","712","54.27","129","88","59.45","15.27","87.64","570","491","53.72","409","370","52.50","79","60","56.83","19.32","83.78","876","726","54.68","436","342","56.04","50","28","64.10","11.47","91.81","1220","1067","53.34","576","509","53.09","22","13","62.86","3.82","97.45","10.45","92.19","1.026"
"29","Minnesota Wild","56","2812.3667","35","16","5","34","75","0.670","2320","2690","46.31","1794","1997","47.32","1295","1410","47.87","149","125","54.38","107.45","103.37","50.97","1084","1136","48.83","694","699","49.82","124","101","55.11","17.87","85.55","481","389","55.29","365","305","54.48","78","61","56.12","21.37","80.00","603","747","44.67","329","394","45.50","46","40","53.49","13.98","89.85","1056","1321","44.43","550","660","45.45","18","22","45.00","3.27","96.67","11.51","91.13","1.026"
"30","Los Angeles Kings","56","2833.5833","21","28","7","20","49","0.438","2381","2620","47.61","1822","1992","47.77","1314","1421","48.04","107","140","43.32","107.54","128.16","45.63","1106","1367","44.72","668","818","44.95","93","121","43.46","13.92","85.21","463","557","45.39","333","409","44.88","73","74","49.66","21.92","81.91","643","810","44.25","335","409","45.03","20","47","29.85","5.97","88.51","1075","1066","50.21","574","536","51.71","6","13","31.58","1.05","97.57","8.14","90.15","0.983"
"31","Ottawa Senators","56","2803.3833","23","28","5","21","51","0.455","2571","2748","48.34","1947","2056","48.64","1366","1487","47.88","121","148","44.98","108.32","117.35","48.00","1214","1300","48.29","691","761","47.59","100","124","44.64","14.47","83.71","483","510","48.64","335","377","47.05","71","69","50.71","21.19","81.70","731","790","48.06","356","384","48.11","29","55","34.52","8.15","85.68","1150","1248","47.96","594","665","47.18","15","19","44.12","2.53","97.14","8.86","90.05","0.989"
