"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"44","Michael Houser","BUF","4","13.316666666667","3.3291666666667","9.01","4.51","0.500","4.51","-3.79","0.76","4.51","4.51","1.000","0.00","0.93","4.51","0","0.000","4.51","-4.11","0","0","-","0.00","0.00","0","0","22.50","29.00"
"110","Veini Vehvilainen","CBJ","1","3.7833333333333","3.7833333333333","31.72","15.86","0.500","15.86","-13.35","1.04","0","0","-","0.00","0.00","15.86","0","0.000","15.86","-14.47","0","0","-","0.00","0.00","0","0","54.00","18.00"
"48","Garret Sparks","VGK","1","4","4","15","0","0.000","15.00","-13.81","5.76","0","0","-","0.00","0.00","15","0","0.000","15.00","-13.68","0","0","-","0.00","0.00","0","15","7.00","7.00"
"88","Kasimir Kaskisuo","NSH, TOR","2","4","2","15","0","0.000","15.00","-13.81","2.82","15","0","0.000","15.00","-11.89","0","0","-","0.00","0.00","0","0","-","0.00","0.00","15","0","10.00","10.00"
"51","Christopher Gibson","T.B","2","6.1","3.05","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","-"
"86","David Ayres","CAR","1","3.9666666666667","3.9666666666667","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","-"
"95","Stuart Skinner","EDM","1","6.0666666666667","6.0666666666667","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","-"
"98","Ukko-Pekka Luukkonen","BUF","4","10.266666666667","2.5666666666667","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","-"
"102","Gilles Senn","N.J","2","4.5","2.25","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","-"
"104","Logan Thompson","VGK","1","2","2","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","-","0.00","0.00","0","0","-","0.00","0.00","30","0","-","-"
