"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"18","Pittsburgh Penguins","28","111.5333","22","4","2","20","46","0.821","175","28","86.21","135","23","85.44","110","20","84.62","17","1","94.44","13.44","1.67","88.97","102","14","87.93","69","10","87.34","15","1","93.75","21.74","90.00","46","9","83.64","39","6","86.67","10","1","90.91","25.64","83.33","56","5","91.80","30","4","88.24","5","0","100.00","16.67","100.00","70","7","90.91","41","4","91.11","2","0","100.00","4.88","100.00","15.45","95.00","1.105"
"19","New York Islanders","28","118.3667","21","4","3","18","45","0.804","160","34","82.47","121","28","81.21","90","24","78.95","17","0","100.00","14","1.87","88.19","101","14","87.83","63","9","87.50","17","0","100.00","26.98","100.00","49","7","87.50","39","5","88.64","14","0","100.00","35.90","100.00","52","7","88.14","24","4","85.71","3","0","100.00","12.50","100.00","55","12","82.09","27","7","79.41","0","0","-","0.00","100.00","18.89","100.00","1.189"
"20","St Louis Blues","28","136.1833","12","11","5","12","29","0.518","241","25","90.60","182","20","90.10","147","11","93.04","19","0","100.00","15.96","1.61","90.84","97","12","88.99","66","6","91.67","14","0","100.00","21.21","100.00","36","6","85.71","28","3","90.32","6","0","100.00","21.43","100.00","61","6","91.04","38","3","92.68","8","0","100.00","21.05","100.00","138","8","94.52","79","2","97.53","5","0","100.00","6.33","100.00","12.93","100.00","1.129"
"21","Anaheim Ducks","28","132.7","6","18","4","5","16","0.286","214","24","89.92","161","23","87.50","107","16","86.99","3","3","50.00","12.53","1.67","88.24","115","12","90.55","65","8","89.04","2","2","50.00","3.08","75.00","31","4","88.57","22","3","88.00","1","1","50.00","4.55","66.67","84","8","91.30","43","5","89.58","1","1","50.00","2.33","80.00","99","2","98.02","42","1","97.67","1","0","100.00","2.38","100.00","2.80","81.25","0.841"
"22","Vancouver Canucks","28","143.15","13","12","3","11","29","0.518","249","31","88.93","180","27","86.96","122","23","84.14","18","3","85.71","16.91","2.24","88.29","156","18","89.66","81","13","86.17","14","3","82.35","17.28","76.92","57","8","87.69","38","7","84.44","10","2","83.33","26.32","71.43","99","10","90.83","43","6","87.76","4","1","80.00","9.30","83.33","91","5","94.79","40","3","93.02","4","0","100.00","10.00","100.00","14.75","86.96","1.017"
"23","Boston Bruins","28","144.0833","18","7","3","15","39","0.696","213","35","85.89","158","30","84.04","114","27","80.85","21","3","87.50","13.22","1.92","87.31","113","16","87.60","61","12","83.56","16","3","84.21","26.23","75.00","37","10","78.72","29","8","78.38","8","1","88.89","27.59","87.50","76","6","92.68","32","4","88.89","8","2","80.00","25.00","50.00","97","9","91.51","52","5","91.23","5","0","100.00","9.62","100.00","18.42","88.89","1.073"
"24","Carolina Hurricanes","28","130.65","20","3","5","19","45","0.804","252","28","90.00","183","23","88.83","125","18","87.41","25","2","92.59","18.94","1.64","92.04","136","15","90.07","70","9","88.61","20","2","90.91","28.57","77.78","61","7","89.71","38","6","86.36","13","2","86.67","34.21","66.67","75","8","90.36","32","3","91.43","7","0","100.00","21.88","100.00","113","8","93.39","53","4","92.98","5","0","100.00","9.43","100.00","20.00","88.89","1.089"
"25","Columbus Blue Jackets","28","120.5833","11","9","8","9","30","0.536","127","28","81.94","105","21","83.33","77","19","80.21","13","0","100.00","7.48","1.29","85.26","52","9","85.25","39","7","84.78","6","0","100.00","15.38","100.00","14","5","73.68","11","4","73.33","2","0","100.00","18.18","100.00","38","4","90.48","28","3","90.32","4","0","100.00","14.29","100.00","70","13","84.34","37","6","86.05","7","0","100.00","18.92","100.00","16.88","100.00","1.169"
"26","Washington Capitals","28","124.6167","17","8","3","16","37","0.661","183","30","85.92","148","26","85.06","100","19","84.03","22","4","84.62","13.11","1.98","86.90","83","9","90.22","54","5","91.53","16","2","88.89","29.63","60.00","23","3","88.46","22","2","91.67","10","1","90.91","45.45","50.00","60","6","90.91","32","3","91.43","6","1","85.71","18.75","66.67","92","14","86.79","44","8","84.62","5","1","83.33","11.36","87.50","22.00","78.95","1.009"
"27","Chicago Blackhawks","28","148.6","13","11","4","12","30","0.536","216","36","85.71","155","31","83.33","124","25","83.22","19","3","86.36","14.67","2.8","83.96","131","22","85.62","81","15","84.38","17","3","85.00","20.99","80.00","50","14","78.13","37","10","78.72","12","1","92.31","32.43","90.00","81","8","91.01","44","5","89.80","5","2","71.43","11.36","60.00","77","8","90.59","43","5","89.58","2","0","100.00","4.65","100.00","15.32","88.00","1.033"
"28","Minnesota Wild","28","160.3","21","5","2","21","44","0.786","214","36","85.60","166","30","84.69","123","22","84.83","17","2","89.47","13.04","1.89","87.36","88","15","85.44","58","7","89.23","14","2","87.50","24.14","71.43","36","7","83.72","30","4","88.24","8","1","88.89","26.67","75.00","52","8","86.67","28","3","90.32","6","1","85.71","21.43","66.67","123","11","91.79","65","7","90.28","3","0","100.00","4.62","100.00","13.82","90.91","1.047"
"29","Dallas Stars","28","147.65","13","7","8","12","34","0.607","228","32","87.69","179","29","86.06","123","25","83.11","22","1","95.65","16.06","0.95","94.41","125","10","92.59","80","6","93.02","18","1","94.74","22.50","83.33","53","1","98.15","40","1","97.56","12","0","100.00","30.00","100.00","72","9","88.89","40","5","88.89","6","1","85.71","15.00","80.00","101","7","93.52","42","4","91.30","4","0","100.00","9.52","100.00","17.89","96.00","1.139"
"30","Montreal Canadiens","28","127.8","13","11","4","12","30","0.536","170","22","88.54","125","17","88.03","96","17","84.96","15","1","93.75","10.97","0.88","92.57","87","9","90.63","53","6","89.83","10","1","90.91","18.87","83.33","32","4","88.89","28","4","87.50","7","1","87.50","25.00","75.00","55","5","91.67","25","2","92.59","3","0","100.00","12.00","100.00","81","1","98.78","42","0","100.00","5","0","100.00","11.90","-","15.63","94.12","1.097"
"31","San Jose Sharks","28","137.9833","11","13","4","10","26","0.464","220","37","85.60","162","29","84.82","120","26","82.19","11","2","84.62","15.48","1.94","88.86","118","21","84.89","74","14","84.09","8","2","80.00","10.81","85.71","49","9","84.48","37","8","82.22","5","2","71.43","13.51","75.00","69","12","85.19","37","6","86.05","3","0","100.00","8.11","100.00","100","8","92.59","46","5","90.20","3","0","100.00","6.52","100.00","9.17","92.31","1.015"
