"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"129","Travis Hamonic","VAN","D","38","75.55","1.9881578947368","10.32","111.98","8.44","9.53","88.15","9.76","8.74","65.92","11.70","1.59","12.71","11.11","1","8.59","10.44","3.97","59.56","6.25","1.59","25.41","5.88","0","7.15","0.00","3.18","45.53","6.52","1.06","4.24","20.00","4.59","74.56","5.80","0","3.44","0.00","18.18","80.72","0.989","0.79","7.15","34.94","27.8","2.22","2.38","11.12","53.21","4.29"
"351","Adam Pelech","NYI","D","60","132.75","2.2125","11.3","111.64","9.19","10.4","83.62","11.06","8.14","59.21","12.08","0.9","9.04","9.09","0.51","8.35","5.72","4.52","56.5","7.41","2.71","24.86","9.84","0.45","4.52","9.09","2.41","42.18","5.41","0","3.62","0.00","5.22","77.04","6.35","0.65","2.61","20.00","11.11","84.73","0.958","0.45","5.42","37.51","22.15","1.19","2.26","8.59","61.02","3.57"
"720","Aleksi Heponiemi","FLA","C","9","1.6166666666667","0.17962962962963","0","111.34","0.00","0","111.34","0.00","0","37.11","0.00","0","37.11","0.00","0","4.59","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","160.82","0.00","0","53.61","0.00","-","0.00","0.00","0","0","74.23","37.11","0.00","0","0","111.34","0.00"
"784","Benoit-Olivier Groulx","ANA","C","5","12.933333333333","2.5866666666667","0","111.34","0.00","0","74.23","0.00","0","64.95","0.00","0","0","-","0","6.46","0.00","0","60.31","0.00","0","9.28","0.00","0","0","-","0","68.04","0.00","0","0","-","0","67.01","0.00","0","0","-","-","100.00","1.00","4.64","0","37.11","46.39","11.11","4.64","0","41.75","10.00"
"151","Ryan O'Reilly","STL","C","59","119.2","2.0203389830508","12.58","111.24","10.16","12.58","91.11","12.14","9.56","68.96","12.18","2.01","12.58","13.79","0.84","9.5","8.16","5.54","57.38","8.80","3.02","27.68","9.84","1.01","6.54","13.33","3.36","39.6","7.81","0","6.04","0.00","5.09","74.89","6.36","0.73","2.18","25.00","21.05","81.75","1.028","0","7.55","68.96","17.62","0.00","2.01","10.07","105.2","1.88"
"486","Marcus Pettersson","PIT","D","51","34.533333333333","0.67712418300654","13.9","111.2","11.11","12.16","86.87","12.28","8.69","64.29","11.90","0","5.21","0.00","0.69","8.73","7.30","6.95","59.07","10.53","5.21","31.27","14.29","0","5.21","0.00","2.32","37.07","5.88","0","0","-","5.02","70.27","6.67","0","0","-","0.00","91.89","0.919","1.74","6.95","38.22","52.12","4.35","3.47","8.69","57.34","5.71"
"345","Esa Lindell","DAL","D","61","184.1","3.0180327868852","14.01","111.14","11.20","11.41","80.83","12.37","9.45","56.38","14.36","0.65","8.15","7.41","0.6","6.85","8.10","7.82","54.1","12.63","1.96","20.21","8.82","0.33","4.24","7.14","7.82","45.19","14.75","0.43","3.48","11.11","2.35","78.15","2.92","0","1.88","0.00","6.90","85.55","0.924","0.33","5.21","38.13","13.36","0.85","1.96","8.8","66.16","2.87"
"289","William Karlsson","VGK","C","60","102.13333333333","1.7022222222222","15.27","111.03","12.09","12.34","73.43","14.38","10.57","55.22","16.07","1.17","6.46","15.38","0.68","7.32","8.47","6.46","60.51","9.65","2.94","21.15","12.20","0.59","2.94","16.67","4.7","52.48","8.22","0","3.13","0.00","5.94","70.43","7.78","0","0.85","0.00","11.11","88.30","0.994","2.35","7.64","49.93","28.2","4.49","2.35","9.99","65.8","3.45"
"438","Josh Morrissey","WPG","D","60","68.116666666667","1.1352777777778","18.5","110.99","14.29","15.86","89.85","15.00","10.57","71.35","12.90","0","10.57","0.00","0.55","9.07","5.77","7.93","54.61","12.68","0","32.59","0.00","0","7.93","0.00","10.57","29.36","26.47","0","1.17","0.00","3.82","76.34","4.76","0","2.54","0.00","0.00","85.19","0.852","0","0.88","23.78","66.06","0.00","2.64","3.52","29.07","8.33"
"701","Urho Vaakanainen","BOS","D","9","17.3","1.9222222222222","24.28","110.98","17.95","20.81","76.3","21.43","20.81","62.43","25.00","3.47","6.94","33.33","1.12","7.78","12.58","6.94","72.83","8.70","3.47","20.81","14.29","0","0","-","4.62","69.36","6.25","0","9.25","0.00","10.02","55.11","15.38","0","0","-","16.67","88.89","1.056","0","6.94","13.87","58.96","0.00","0","10.4","27.75","0.00"
