"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"8","Devan Dubnyk","COL, S.J","22","964.1","43.822727272727","29.44","26.51","0.901","2.93","-0.42","2.18","7.59","6.04","0.795","1.56","-0.17","7.72","6.91","0.895","0.81","-0.08","13.19","12.63","0.958","0.56","-0.19","1.12","3.42","34.62","21.49"
"50","Joonas Korpisalo","CBJ","33","1497.1166666667","45.367171717172","31.06","27.97","0.901","3.09","-0.44","2.36","8.26","6.45","0.782","1.80","-0.30","8.74","7.86","0.899","0.88","-0.06","12.82","12.42","0.969","0.40","-0.04","1.44","3.25","34.54","22.29"
"46","Malcolm Subban","CHI","16","707.85","44.240625","33.06","29.75","0.900","3.31","-0.49","2.57","10","7.71","0.771","2.29","-0.47","8.73","8.14","0.932","0.59","0.23","12.8","12.38","0.967","0.42","-0.06","1.53","3.64","33.03","17.36"
"90","Josef Korenar","S.J","10","401.76666666667","40.176666666667","33","29.72","0.900","3.29","-0.47","2.51","9.41","7.47","0.794","1.94","-0.23","8.36","7.62","0.911","0.75","0.04","13.89","13.29","0.957","0.60","-0.20","1.49","3.14","33.18","19.05"
"92","Collin Delia","CHI","6","278.71666666667","46.452777777778","36.17","32.51","0.899","3.66","-0.58","3.12","11.41","9.69","0.849","1.72","0.35","8.61","7.97","0.925","0.65","0.16","15.07","13.78","0.914","1.29","-0.87","1.51","5.6","32.88","27.18"
"65","Jonas Johansson","BUF, COL","15","689.16666666667","45.944444444444","27.69","24.81","0.896","2.87","-0.51","2.08","8.53","7.14","0.837","1.39","0.16","7.4","6.18","0.835","1.22","-0.52","9.93","9.66","0.974","0.26","0.02","1.39","2.44","34.18","19.94"
"72","Dan Vladar","BOS","5","241.05","48.21","28.62","25.64","0.896","2.99","-0.55","2.29","10.21","7.72","0.756","2.49","-0.63","6.97","6.47","0.929","0.50","0.16","10.45","10.45","1.000","0.00","0.30","1.99","2.99","31.59","16.42"
"7","Brian Elliott","PHI","30","1353.2166666667","45.107222222222","27.36","24.48","0.895","2.88","-0.55","2.01","7.09","5.72","0.806","1.37","-0.08","6.47","5.59","0.863","0.89","-0.28","12.59","11.97","0.951","0.62","-0.26","0.98","3.02","36.82","22.86"
"38","Keith Kinkaid","NYR","9","398.88333333333","44.32037037037","24.97","22.26","0.892","2.71","-0.58","1.88","7.22","5.42","0.750","1.81","-0.49","5.72","5.26","0.921","0.45","0.09","10.53","10.08","0.957","0.45","-0.15","1.65","3.01","35.99","19.28"
"79","Carter Hart","PHI","27","1200.3833333333","44.458641975309","29.49","26.29","0.892","3.20","-0.68","2.16","8.7","6.75","0.776","1.95","-0.37","7.15","6.3","0.881","0.85","-0.18","12.35","12","0.972","0.35","0.00","1.3","3.15","34.96","20.06"
"21","Braden Holtby","VAN","21","1051.8166666667","50.086507936508","33.54","29.89","0.891","3.65","-0.79","2.69","9.47","7.07","0.747","2.40","-0.67","10.32","9.47","0.917","0.86","0.11","12.89","12.49","0.969","0.40","-0.03","1.94","2.97","33.03","18.92"
"14","Jonathan Quick","L.A","22","997.25","45.329545454545","27.8","24.73","0.890","3.07","-0.70","2.48","8","6.2","0.774","1.80","-0.35","7.94","7.1","0.894","0.84","-0.10","10.65","10.29","0.966","0.36","-0.06","0.9","4.57","34.13","21.25"
"2","Ryan Miller","ANA","16","744.71666666667","46.544791666667","28.44","25.22","0.887","3.22","-0.80","2.3","7.9","6.2","0.786","1.69","-0.26","8.86","7.82","0.882","1.05","-0.22","11.12","10.63","0.957","0.48","-0.17","1.13","4.11","33.35","21.38"
"27","Carter Hutton","BUF","13","581.11666666667","44.701282051282","30.15","26.64","0.884","3.51","-0.94","2.37","8.26","6.09","0.738","2.17","-0.67","6.92","5.99","0.866","0.93","-0.28","13.84","13.42","0.970","0.41","-0.02","0.93","2.58","34.96","19.35"
"58","Marcus Hogberg","OTT","14","532.2","38.014285714286","29.88","26.38","0.883","3.49","-0.95","2.32","7.22","6.09","0.844","1.13","0.19","8","6.65","0.831","1.35","-0.60","12.97","12.18","0.939","0.79","-0.42","1.35","4.17","36.70","29.13"
"54","Aaron Dell","N.J","7","255.58333333333","36.511904761905","29.58","26.06","0.881","3.52","-1.00","2.25","7.75","6.34","0.818","1.41","0.00","6.81","5.4","0.793","1.41","-0.77","13.85","13.15","0.949","0.70","-0.31","0.94","3.29","35.21","24.47"
"4","Curtis McElhinney","T.B","12","581.15","48.429166666667","24.88","21.89","0.880","2.99","-0.87","1.58","5.68","4.34","0.764","1.34","-0.31","7.23","5.88","0.814","1.34","-0.66","10.63","10.32","0.971","0.31","-0.01","0.93","1.34","36.17","19.55"
"43","Christopher Gibson","T.B","2","97.816666666667","48.908333333333","20.24","17.79","0.879","2.45","-0.73","1.49","4.91","4.29","0.875","0.61","0.28","4.91","3.68","0.750","1.23","-0.77","8.59","7.97","0.929","0.61","-0.37","0.61","1.84","35.18","28.50"
"30","Calvin Pickard","DET","6","257.73333333333","42.955555555556","27.24","23.75","0.872","3.49","-1.17","1.93","7.92","5.59","0.706","2.33","-0.89","7.45","6.29","0.844","1.16","-0.46","10.94","10.94","1.000","0.00","0.31","1.86","0.93","33.14","17.40"
"34","Louis Domingue","CGY","1","49.3","49.3","27.99","24.34","0.870","3.65","-1.26","1.72","6.09","2.43","0.400","3.65","-2.54","12.17","12.17","1.000","0.00","1.14","9.74","9.74","1.000","0.00","0.28","0","2.43","31.87","18.33"
"45","Oscar Dansk","VGK","1","44.216666666667","44.216666666667","31.21","27.14","0.870","4.07","-1.41","2.57","10.86","9.5","0.875","1.36","0.62","8.14","5.43","0.667","2.71","-1.95","12.21","12.21","1.000","0.00","0.35","1.36","2.71","28.09","26.00"
"98","Alexei Melnichuk","S.J","3","114.46666666667","38.155555555556","37.74","32.5","0.861","5.24","-2.02","3.43","13.63","11.53","0.846","2.10","0.38","11.53","8.91","0.773","2.62","-1.54","10.48","9.96","0.950","0.52","-0.23","2.62","5.77","32.56","17.20"
"95","Ivan Prosvetov","ARI","3","105.63333333333","35.211111111111","23.86","20.45","0.857","3.41","-1.37","1.87","6.82","5.11","0.750","1.70","-0.46","6.82","5.11","0.750","1.70","-1.06","9.09","9.09","1.000","0.00","0.26","1.7","1.7","38.83","19.33"
"86","Hunter Miska","COL","5","213.26666666667","42.653333333333","25.04","21.38","0.854","3.66","-1.52","1.88","7.03","5.35","0.760","1.69","-0.41","7.03","5.06","0.720","1.97","-1.31","10.69","10.69","1.000","0.00","0.30","1.13","4.5","34.62","20.15"
"85","Cayden Primeau","MTL","4","172.61666666667","43.154166666667","27.46","23.29","0.848","4.17","-1.83","2.14","7.65","4.87","0.636","2.78","-1.39","6.6","5.21","0.789","1.39","-0.77","12.17","12.17","1.000","0.00","0.34","1.39","2.78","35.68","18.08"
"96","Artyom Zagidulin","CGY","1","28.216666666667","28.216666666667","23.39","19.14","0.818","4.25","-2.26","1.99","6.38","4.25","0.667","2.13","-0.97","8.51","6.38","0.750","2.13","-1.33","6.38","6.38","1.000","0.00","0.18","8.51","2.13","45.55","16.50"
