"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"628","Riley Stillman","CHI, FLA","D","12","12.083333333333","1.0069444444444","4.87","-15.01","6.37","7.53","-14.91","10.57","3.9","4.07","2.67","3.64","-3.99","75.00","2.02","0.41","15.50","1.59","-15.53","6.13","10.91","4.52","19.70","4.97","-1.33","100.00","-12.42","-26.73","-18.92","-1.77","-1.77","-50.00","5.25","-4.49","12.12","0","-1.92","0.00","25.00","100.00","1.250","0","0","14.9","74.48","0.00","0","9.93","14.9","0.00"
"292","Jonas Brodin","MIN","D","27","54.416666666667","2.0154320987654","-3","-15.02","-0.90","-0.66","-14.03","1.33","1.68","-15.5","5.49","2.21","4.93","20.00","0.23","-1.5","4.70","1.16","-2.12","2.28","-0.59","-6.38","2.50","0","1.75","0.00","2.33","5.67","3.96","2.94","2.33","40.00","-2.91","-21.16","-2.63","0","2.06","0.00","20.00","82.61","1.026","1.1","5.51","36.39","28.67","2.94","1.1","8.82","50.72","2.13"
"156","Victor Hedman","T.B","D","28","76.683333333333","2.7386904761905","-0.22","-15.27","2.47","1.44","-5.21","2.81","-0.29","-8.47","3.03","0.78","-2.19","16.67","0.37","-0.34","5.25","7.2","-11.95","16.24","3.38","1.96","9.68","0","-1.49","0.00","5.09","-18.54","19.39","1.04","-1.4","50.00","-7.68","-5.3","-11.21","0","0.5","0.00","6.25","90.00","0.963","0","3.91","25.82","43.82","0.00","3.91","8.61","36.77","9.62"
"346","Teddy Blueger","PIT","C","23","47.583333333333","2.0688405797101","1.7","-15.37","4.49","2.8","-19.59","8.36","5.97","-9.91","13.14","1.26","0.13","11.11","0.3","-1.52","7.65","2.98","-5.95","8.23","2.83","-4.94","16.14","0","-1.6","0.00","0.21","-1.34","0.99","1.68","5.25","20.00","-0.93","-15.66","1.54","0","-3.2","0.00","10.00","72.41","0.824","1.26","6.3","50.44","42.87","2.44","2.52","8.83","60.53","4.00"
"544","Thomas Chabot","OTT","D","25","9.5666666666667","0.38266666666667","-1.98","-15.52","0.49","-0.17","-27.36","7.09","1.2","-15.93","7.52","4.91","-7.72","85.00","1.14","-3.61","27.31","5.28","9.61","4.64","3.09","-15.97","37.50","4.91","-3.63","72.73","2.92","34.11","-1.69","0","-3.03","0.00","-3.28","-34.99","-5.81","0","-2.62","0.00","50.00","100.00","1.500","12.54","6.27","18.82","75.26","40.00","12.54","12.54","18.82","40.00"
"589","Philippe Myers","NSH, PHI","D","21","25.066666666667","1.1936507936508","16.52","-15.61","17.13","9.34","-10.67","12.46","6.43","-0.95","8.47","-0.94","3.52","-10.00","0.04","-2.35","4.18","-2.3","-11.56","-2.77","-1.88","-4.33","-7.41","-0.94","-2.72","-11.11","-0.56","-9.65","2.75","0","5.13","0.00","14.57","-7.95","22.90","0","3.46","0.00","0.00","75.00","0.750","0","4.79","23.94","55.05","0.00","4.79","7.18","23.94","16.67"
"464","Adrian Kempe","L.A","C","31","48.416666666667","1.5618279569892","-11.97","-15.68","-9.14","-11.6","-18.33","-11.41","-9.46","-15.34","-11.89","-0.54","-2","-7.14","-0.75","-2.41","-9.26","-5.18","-0.9","-9.04","-3.75","-9.18","-15.56","-0.54","-2.51","-12.50","-1.91","11.04","-5.25","0","1.16","0.00","-3.86","-19.8","-4.39","0","-0.53","0.00","0.00","89.74","0.897","0","8.67","34.7","55.77","0.00","0","11.15","40.9","0.00"
"593","Brandon Tanev","PIT, SEA","L","22","40.466666666667","1.8393939393939","-1.9","-16.05","1.15","-0.71","-24.57","5.34","-1.57","-6.28","0.00","0.29","2.3","0.00","0.1","-2.11","4.49","1.15","-16.7","5.63","-0.62","-5.82","0.83","0","-0.04","0.00","2.36","-14.51","10.29","0.38","2.74","-8.33","1.66","-3.35","3.50","0","0.42","0.00","14.29","71.43","0.857","2.97","2.97","41.52","47.45","6.67","2.97","8.9","50.41","5.56"
"769","Logan O'Connor","COL","R","11","22","2","0.52","-16.05","2.25","-2.21","-18.19","0.73","-3.3","-1.2","-4.44","-1.64","3.81","-50.00","-0.81","-2.5","-7.12","-1.11","-9.93","0.34","-4.92","-15.33","-15.79","-1.64","0","-","5.09","7.2","9.13","0","3.64","0.00","-1.6","-12.78","0.00","0","1.57","0.00","0.00","88.24","0.882","0","5.45","35.45","49.09","0.00","0","10.91","38.18","0.00"
"557","John Marino","PIT","D","28","48.45","1.7303571428571","5.55","-16.06","8.01","5.6","-7","8.05","2.33","-8.75","6.67","0.4","-2.72","4.86","0.16","-0.47","3.12","2.83","-8.25","7.88","2.03","2.14","7.09","0","2.38","0.00","1.06","-13.85","8.04","0.53","-3.96","33.33","2.29","-10.63","5.49","0","-3.07","0.00","12.50","74.19","0.867","2.48","6.19","33.44","44.58","6.90","2.48","13.62","47.06","5.00"
"336","Shayne Gostisbehere","ARI, PHI","D","20","1.9","0.095","45.69","-16.11","31.94","47.04","0.68","29.49","51.07","16.81","29.31","0","-9.4","-","2.33","-2.29","31.59","26.88","-11.41","40.14","28.89","8.07","39.74","0","-6.72","-","-2.69","-25.97","-","0","-0.9","0.00","36.88","-4.84","35.25","0","-2.91","0.00","0.00","100.00","1.000","0","0","0","189.47","-","0","31.58","0","-"
"738","Isac Lundestrom","ANA","C","27","44.9","1.662962962963","-8.85","-16.16","-5.23","-8.78","-15.15","-6.26","-6.62","-8.08","-6.73","0","0.32","0.00","-0.34","-0.56","-3.40","-1.72","4.01","-3.80","-0.83","1.21","-4.17","0","-1.46","0.00","-1.19","3.73","-3.56","0","-0.17","0.00","-7.08","-30.98","-7.53","0","2.76","0.00","0.00","84.62","0.846","1.34","6.68","21.38","73.5","5.88","2.67","9.35","28.06","8.70"
"667","Nicolas Hague","VGK","D","28","22.633333333333","0.80833333333333","0.09","-16.36","2.00","1.47","-11.8","3.92","3.55","-8.3","7.34","2.65","2.41","25.00","-0.93","-2.28","-7.21","-0.24","-7.73","0.91","-0.81","-4.19","-0.42","2.65","0.57","50.00","0.76","-4.72","2.14","0","0.76","0.00","1.83","-13.29","4.07","0","1.83","0.00","20.00","82.35","1.024","0","0","10.6","74.23","0.00","2.65","2.65","15.91","14.29"
"719","Jacob Bryson","BUF","D","21","41.433333333333","1.9730158730159","0","-16.39","1.23","1.93","-18.16","3.60","1.93","-13.18","4.91","2.9","7.4","18.18","-0.21","-1.64","-1.67","-2.73","-11.09","-2.81","-1.13","3.54","-4.76","0","5.31","0.00","-2.14","-19.51","-0.40","1.93","-1.5","100.00","0.93","-4.87","1.79","2.09","4.65","25.00","33.33","75.00","1.083","0","2.9","42","23.17","0.00","0","4.34","59.37","0.00"
"112","Drew Doughty","L.A","D","30","63","2.1","-1.28","-16.44","0.29","-0.21","-5.38","0.42","0.87","0.03","1.18","0.95","-2.27","20.00","-0.27","-0.83","-2.70","-2.27","-13.34","-1.53","-1.47","-2.04","-5.10","0.95","-0.8","33.33","-1.06","-15.07","0.26","0","-2.7","0.00","-1.55","-2.53","-1.76","0","0.8","0.00","12.50","93.44","1.059","0.95","11.43","36.19","27.62","2.56","0.95","16.19","61.9","1.52"
"539","Nicolas Roy","VGK","C","26","14.766666666667","0.56794871794872","-1.36","-16.64","0.77","-4.78","-25.46","-0.53","-2.2","-9.52","-0.62","-0.65","2.96","-11.11","-0.86","-3.64","-4.33","-0.45","-16.81","1.80","-3.23","-13.17","-13.16","-0.65","-3.23","-","3.7","-4.85","7.66","0","3.7","0.00","2.14","-3.77","3.46","0","5.87","0.00","0.00","81.82","0.818","4.06","12.19","32.51","73.14","11.11","4.06","20.32","36.57","10.00"
"271","Jean-Gabriel Pageau","NYI","C","30","49.016666666667","1.6338888888889","4.87","-16.69","5.88","2.56","-10.92","4.52","2.3","-8.01","5.30","-0.68","-4.65","-6.67","0.07","0.67","0.07","-0.15","-11","2.41","0.81","2.55","0.65","0","-2.87","0.00","-1.28","-18.06","1.05","-0.91","-2","-20.00","2.15","-9.78","3.95","0","0.58","0.00","0.00","89.47","0.895","2.45","11.02","30.6","57.53","7.41","3.67","12.24","45.29","7.50"
"478","Jake Walman","STL","D","15","12.75","0.85","-7.88","-16.85","-4.55","-12.58","-3.58","-12.10","-14.05","4.99","-20.00","-2.16","2.93","-25.00","-1.22","5.79","-12.72","-8.64","4.61","-14.29","-7.56","14.26","-21.21","-1.08","4.01","-16.67","-1.44","-12.87","-4.35","0","0","-","-1.01","-27.88","4.08","-1.56","-1.56","-50.00","-","84.62","0.85","9.41","23.53","9.41","56.47","50.00","9.41","28.24","23.53","28.57"
"471","Brandon Montour","BUF, FLA","D","27","45.266666666667","1.6765432098765","1.82","-16.98","3.22","-0.03","-14","2.15","0.77","-12.62","4.10","-0.8","-2.94","-7.69","-0.02","-0.68","0.81","-0.55","-8.1","0.80","1.58","3.13","3.94","0","0.52","0.00","-2.84","-14.97","-2.00","-1.06","0","-100.00","3.44","-9.38","5.26","0","-5","0.00","0.00","86.84","0.868","0","7.95","27.84","34.46","0.00","3.98","10.6","37.11","9.68"
