"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"523","Louie Belpedio","MIN","D","1","11.816666666667","11.816666666667","-23.29","30.58","-23.30","-5.31","33.5","-18.75","-7.29","12.84","-15.59","0","1.81","0.00","-2.19","0.79","-29.33","-24.34","19.38","-46.95","-14.71","12.14","-64.29","0","3.44","0.00","-12.84","9.65","-32.94","0","0","-","10.96","18.29","-3.85","0","0","-","0.00","87.50","0.875","5.08","5.08","10.16","50.78","33.33","10.16","15.23","15.23","40.00"
"905","Cam York","PHI","D","3","52.233333333333","17.411111111111","-6.45","30.34","-15.22","-13.32","18.87","-18.19","-7.53","15.45","-17.91","-2.88","-0.01","-30.30","-1.09","0.93","-23.92","-8.68","4.54","-13.59","-1.74","6.87","-18.39","-2.88","1.15","-71.43","-9.25","-3.1","-6.24","-0.77","-0.77","-50.00","2.41","23.99","-12.19","1.66","-0.83","100.00","5.00","94.59","0.996","11.49","8.04","9.19","50.54","55.56","18.38","12.64","17.23","51.61"
"99","Yannick Weber","PIT","D","2","18.733333333333","9.3666666666667","-22.34","29.62","-22.74","-16.04","19.09","-20.72","-4.47","11.77","-13.25","-5.21","8.74","-85.71","-0.99","2.36","-28.67","-10.87","11.17","-19.19","-4.29","12.27","-33.33","-4.34","9.61","-100.00","-8.77","-1.46","-6.35","-1.16","0","-100.00","-16.17","16.53","-23.64","0","-1.26","0.00","0.00","72.73","0.727","6.41","9.61","9.61","57.65","40.00","16.01","9.61","22.42","41.67"
"923","Lean Bergmann","S.J","C","1","10.316666666667","10.316666666667","4.19","28.27","-7.01","4.66","18.38","-3.70","-3.72","10.01","-8.33","0","-1.74","0.00","-0.62","1.37","-13.14","-18.38","30.71","-33.77","-10.58","10.94","-36.84","0","2.79","0.00","-10.39","26.37","-33.08","0","-6.05","0.00","36.96","-1.34","25.17","0","0","-","0.00","88.89","0.889","11.63","23.26","5.82","52.34","66.67","17.45","23.26","11.63","60.00"
"149","Matt Bartkowski","MIN","D","1","11.366666666667","11.366666666667","-21.17","27.52","-21.12","-3.41","29.88","-16.02","-5.89","7.89","-10.96","0","2.05","0.00","-2.13","0.59","-27.98","-23.78","14.35","-43.75","-14.53","13.04","-64.29","0","3.66","0.00","-12.33","1.74","-25.00","0","0","-","13.1","20.73","-3.85","0","0","-","0.00","85.71","0.857","5.28","5.28","10.56","52.79","33.33","10.56","15.84","15.84","40.00"
"795","David Farrance","NSH","D","2","30.5","15.25","-4.43","26.94","-15.75","-3.19","17.87","-13.84","1.89","12.35","-8.34","-1.24","-0.86","14.29","-0.67","1.07","-19.79","0.16","7.21","-8.60","-5.46","6.62","-26.92","0.48","-0.86","20.00","7.5","0.78","8.15","-1.15","0","-100.00","-12.32","27.81","-30.11","-1.25","0","-100.00","13.33","100.00","1.133","9.84","5.9","7.87","55.08","55.56","13.77","13.77","15.74","46.67"
"756","Jonah Gadjovich","VAN","L","1","4.9166666666667","4.9166666666667","-40.74","26.53","-31.57","-30.15","9.59","-28.49","-39.33","4.85","-55.32","-3.03","4.64","-28.57","-2.14","0.83","-44.42","-31.76","9.38","-53.85","-4.54","15.33","-33.33","-1.51","9.18","-33.33","-36.3","-7.93","-60.00","0","-2.02","0.00","-4.22","-3.93","-2.78","-2.18","-4.37","-33.33","-","66.67","0.67","12.2","12.2","12.2","48.81","50.00","24.41","24.41","24.41","50.00"
"634","Dmytro Timashov","NYI","L","1","7.1666666666667","7.1666666666667","-10.17","26.05","-16.20","-12.91","30.36","-23.67","-1.64","27.7","-20.95","-2.82","15.34","-66.67","-1.23","0.5","-33.42","-19.72","12.36","-48.28","-2.82","2.74","-33.33","-1.41","-1.41","-","-22.54","12.83","-52.17","-1.88","22.33","-100.00","19.89","13.79","4.84","0","0","-","0.00","66.67","0.667","16.74","0","0","58.6","100.00","25.12","0","8.37","75.00"
"476","Kevin Czuczman","PIT","D","2","18.883333333333","9.4416666666667","-35.99","24.93","-35.24","-26.31","15.99","-34.72","-18.12","18.07","-43.80","-1.69","7.84","-50.00","-1.29","0.72","-36.21","-20.45","8.34","-43.85","-7.59","4.47","-60.00","-0.84","5.51","-50.00","-17.14","5.17","-37.07","-1.13","4.24","-100.00","-12.69","20.58","-26.00","0","-1.22","0.00","0.00","72.73","0.727","3.18","3.18","12.71","57.19","20.00","6.35","3.18","15.89","28.57"
"835","Sheldon Rempal","CAR","R","3","24.683333333333","8.2277777777778","-11.83","24.62","-15.82","-2.78","24.84","-15.19","-1.38","13.93","-13.99","-1.55","-1.55","-","-0.82","0.86","-15.31","-3.67","10.55","-11.01","-10.75","7.96","-31.45","-1.03","-1.03","-","9.44","3.45","7.18","0","-0.69","0.00","-3.6","20.54","-18.74","-0.74","0","-100.00","0.00","100.00","1.000","9.72","14.58","9.72","48.62","50.00","21.88","19.45","19.45","52.94"
