"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"13","Boston Bruins","56","4.9324","33","16","7","29","73","0.652","92.1","16.51","84.80","68.86","14.34","82.77","45.83","12.16","79.03","7.6","1.3","85.37","5.99","0.95","86.30","48.66","7.39","86.82","25.85","5.65","82.07","5.86","1.09","84.38","22.69","80.77","19.77","5.21","79.13","13.03","4.56","74.07","3.91","0.65","85.71","30.00","85.71","28.89","2.17","93.01","12.82","1.09","92.19","1.95","0.43","81.82","15.25","60.00","42.36","4.56","90.28","19.77","2.17","90.10","1.74","0.22","88.89","8.79","90.00","16.59","89.29","1.059"
"14","New Jersey Devils","56","4.8464","19","30","7","19","45","0.402","80.03","11.27","87.65","59.91","10.83","84.69","42.89","9.06","82.55","4.86","1.11","81.48","5.33","0.94","85.04","37.58","6.85","84.58","22.33","5.97","78.91","3.54","0.88","80.00","15.84","85.19","13.04","3.1","80.82","9.06","3.1","74.55","1.99","0.66","75.00","21.95","78.57","24.54","3.76","86.72","13.26","2.87","82.19","1.55","0.22","87.50","11.67","92.31","41.34","1.77","95.90","20.56","0.88","95.88","1.33","0","100.00","6.45","100.00","11.34","87.80","0.991"
"15","New York Islanders","56","4.6592","32","17","7","28","71","0.634","82.56","13.34","86.09","64.39","10.81","85.63","47.37","8.28","85.12","6.21","0","100.00","6.54","0.66","90.79","47.83","5.75","89.27","30.81","3.45","89.93","5.75","0","100.00","18.66","100.00","21.62","2.53","89.52","17.25","1.61","91.46","4.6","0","100.00","26.67","100.00","26.22","3.22","89.06","13.57","1.84","88.06","1.15","0","100.00","8.47","100.00","32.88","4.83","87.20","16.56","2.3","87.80","0.46","0","100.00","2.78","100.00","13.11","100.00","1.131"
"16","New York Rangers","56","5.356","27","23","6","26","60","0.536","101.82","13","88.68","79.42","11.4","87.44","53.21","8.4","86.36","7.4","0.8","90.24","7.5","0.43","94.62","55.61","3.8","93.60","31.81","2.4","92.98","6.2","0.6","91.18","19.50","75.00","25.21","1.4","94.74","17.4","1","94.57","4.2","0.6","87.50","24.14","40.00","30.41","2.4","92.68","14.4","1.4","91.14","2","0","100.00","13.89","100.00","44.41","2.8","94.07","20.8","1","95.41","1.2","0","100.00","5.77","100.00","13.91","90.48","1.044"
"17","Florida Panthers","56","5.8429","37","14","5","36","79","0.705","96.27","15.59","86.07","75.73","14.3","84.11","57.76","11.92","82.89","7.15","0.73","90.70","6.66","1.09","86.00","44.74","7.15","86.22","31.17","5.32","85.43","5.87","0.55","91.43","18.82","89.66","19.07","3.12","85.95","16.32","2.75","85.58","3.67","0.18","95.24","22.47","93.33","25.67","4.03","86.42","14.85","2.57","85.26","2.2","0.37","85.71","14.81","85.71","48.59","3.85","92.66","26.04","2.57","91.03","1.28","0.18","87.50","4.93","92.86","12.38","93.85","1.062"
"18","Dallas Stars","56","4.7762","23","19","14","21","60","0.536","91.97","13.91","86.86","72.01","12.79","84.92","50.7","10.09","83.39","8.3","0.67","92.50","6.54","0.58","91.87","49.13","5.16","90.50","30.96","2.92","91.39","6.95","0.45","93.94","22.46","84.62","23.11","2.02","91.96","17.27","1.12","93.90","5.38","0.22","96.00","31.17","80.00","26.02","3.14","89.23","13.68","1.79","88.41","1.57","0.22","87.50","11.48","87.50","40.83","3.14","92.86","19.29","2.47","88.66","1.35","0.22","85.71","6.98","90.91","16.37","93.33","1.097"
"19","Carolina Hurricanes","56","4.4804","36","12","8","32","80","0.714","106.9","15.78","87.13","74.61","13.39","84.78","52.85","9.57","84.67","10.04","1.2","89.36","7.04","1.31","84.30","58.11","9.8","85.56","29.89","5.98","83.33","7.65","1.2","86.49","25.60","80.00","23.2","5.5","80.83","15.78","4.3","78.57","5.5","1.2","82.14","34.85","72.22","34.91","4.3","89.02","14.11","1.67","89.39","2.15","0","100.00","15.25","100.00","46.15","3.83","92.34","22","1.91","92.00","1.91","0","100.00","8.70","100.00","19.00","87.50","1.065"
"20","Detroit Red Wings","56","4.8226","19","27","10","17","48","0.429","76.87","15.77","82.97","56.21","14.44","79.56","42.21","12.89","76.61","3.78","0.89","80.95","4.84","1.14","80.96","35.1","8.89","79.80","21.11","7.78","73.08","2.89","0.67","81.25","13.68","91.43","11.33","4.22","72.86","9.78","4","70.97","1.33","0.22","85.71","13.64","94.44","23.77","4.67","83.59","11.33","3.78","75.00","1.56","0.44","77.78","13.73","88.24","39.99","3.55","91.84","20.88","2","91.26","0.89","0","100.00","4.26","100.00","8.95","93.10","1.021"
"21","Columbus Blue Jackets","56","3.7283","18","26","12","15","48","0.429","72.42","15.81","82.08","58.05","12.93","81.78","43.11","11.5","78.95","5.17","0.57","90.00","4.48","0.86","83.91","30.46","6.32","82.81","21.27","4.89","81.32","2.3","0.57","80.00","10.81","88.24","10.06","4.02","71.43","7.47","3.16","70.27","1.15","0.29","80.00","15.38","90.91","20.4","2.3","89.87","13.79","1.72","88.89","1.15","0.29","80.00","8.33","83.33","39.95","5.75","87.42","21.55","3.16","87.21","2.87","0","100.00","13.33","100.00","12.00","95.00","1.070"
"22","Nashville Predators","56","4.8533","31","23","2","26","64","0.571","90.73","12.36","88.01","66.89","11.04","85.84","49.67","8.83","84.91","6.18","0.44","93.33","5.61","0.71","88.73","41.06","6.62","86.11","24.95","3.97","86.26","4.42","0.44","90.91","17.70","88.89","16.56","2.65","86.21","12.14","2.21","84.62","2.87","0.44","86.67","23.64","80.00","24.5","3.97","86.05","12.8","1.77","87.88","1.55","0","100.00","12.07","100.00","48.35","3.31","93.59","24.06","2.65","90.08","1.32","0","100.00","5.50","100.00","12.44","95.00","1.074"
"23","Calgary Flames","56","5.2798","26","27","3","25","55","0.491","92.13","19.68","82.40","72.45","17.86","80.22","52.15","14","78.83","6.49","1.42","82.05","6.34","1.19","84.16","46.27","9.74","82.61","31.25","7.51","80.63","5.07","1.22","80.65","16.23","83.78","18.87","3.86","83.04","14.41","3.25","81.61","2.23","0.81","73.33","15.49","75.00","27.4","5.89","82.32","16.84","4.26","79.81","2.84","0.41","87.50","16.87","90.48","43.63","3.86","91.88","20.29","2.03","90.91","1.42","0.2","87.50","7.00","90.00","12.45","89.86","1.023"
"24","Winnipeg Jets","56","5.0839","30","23","3","30","63","0.563","101.79","16.44","86.10","76.71","13.91","84.65","57.96","11.8","83.08","7.8","0.63","92.50","6.64","0.93","87.74","56.9","7.59","88.24","32.46","5.48","85.56","5.27","0.63","89.29","16.23","88.46","19.18","4.21","81.98","14.12","3.37","80.72","2.53","0.42","85.71","17.91","87.50","37.72","3.37","91.79","18.34","2.11","89.69","2.74","0.21","92.86","14.94","90.00","43.62","4","91.59","24.87","1.69","93.65","2.32","0","100.00","9.32","100.00","13.45","94.64","1.081"
"25","San Jose Sharks","56","4.6938","21","28","7","16","49","0.438","94.05","15.29","86.01","70.31","12.55","84.85","52.27","11.19","82.37","5.25","0.91","85.19","6.46","0.86","88.28","46.11","7.3","86.32","28.53","5.48","83.89","4.34","0.91","82.61","15.20","83.33","19.17","3.65","84.00","15.29","3.2","82.72","2.97","0.91","76.47","19.40","71.43","26.94","3.65","88.06","13.24","2.28","85.29","1.37","0","100.00","10.34","100.00","45.65","3.65","92.59","23.51","2.05","91.96","0.91","0","100.00","3.88","100.00","10.04","91.84","1.019"
"26","Arizona Coyotes","56","5.4098","24","26","6","21","54","0.482","83.38","12.08","87.34","61.2","11.49","84.20","42.98","9.31","82.20","7.33","0.79","90.24","5.2","0.65","88.83","39.61","4.75","89.29","22.18","3.76","85.50","4.95","0.59","89.29","22.32","84.21","15.25","2.97","83.70","8.32","2.38","77.78","2.38","0.59","80.00","28.57","75.00","24.36","1.78","93.18","13.86","1.39","90.91","2.57","0","100.00","18.57","100.00","41.39","3.37","92.48","20","2.38","89.38","2.18","0","100.00","10.89","100.00","17.05","91.49","1.085"
"27","Vegas Golden Knights","56","5.2661","40","14","2","39","82","0.732","107.22","14.45","88.13","82.81","11.8","87.53","60.02","9.36","86.51","6.31","0.41","93.94","7.27","0.66","91.70","53.1","6.31","89.38","32.15","3.26","90.80","4.48","0","100.00","13.92","100.00","20.96","2.85","88.03","15.67","1.42","91.67","3.66","0","100.00","23.38","100.00","32.15","3.46","90.29","16.48","1.83","90.00","0.81","0","100.00","4.94","100.00","50.25","4.07","92.51","27.67","2.44","91.89","1.83","0.41","81.82","6.62","83.33","10.51","95.65","1.062"
"28","Anaheim Ducks","56","4.0741","17","30","9","15","43","0.384","90.99","13.41","87.15","69.43","12.62","84.62","46.81","8.94","83.96","2.89","1.05","73.33","5.9","0.76","88.59","45.5","6.84","86.93","24.72","4.21","85.45","2.37","0.79","75.00","9.57","81.25","16.31","2.89","84.93","10.78","1.84","85.42","1.84","0.26","87.50","17.07","85.71","29.19","3.94","88.10","13.94","2.37","85.48","0.53","0.53","50.00","3.77","77.78","44.97","1.58","96.61","22.09","0.53","97.67","0.53","0","100.00","2.38","100.00","6.18","88.24","0.944"
"29","Los Angeles Kings","56","5.1384","21","28","7","20","49","0.438","98","15.43","86.40","70.69","14.6","82.89","51.09","13.34","79.29","6.67","0.63","91.43","6.59","0.8","89.19","45.25","5.63","88.93","25.23","4.59","84.62","4.59","0.63","88.00","18.18","86.36","20.23","2.29","89.81","14.6","2.09","87.50","2.71","0.63","81.25","18.57","70.00","25.02","3.34","88.24","10.63","2.5","80.95","1.88","0","100.00","17.65","100.00","50.67","2.5","95.29","25.65","1.88","93.18","2.09","0","100.00","8.13","100.00","13.06","95.31","1.084"
"30","Minnesota Wild","56","5.4051","35","16","5","34","75","0.670","90.79","14.47","86.25","69.78","12.29","85.02","49.16","9.51","83.78","5.75","0.59","90.63","5.66","0.71","88.90","40.24","6.34","86.38","25.17","3.17","88.81","4.96","0.59","89.29","19.69","81.25","15.46","3.57","81.25","11.89","2.18","84.51","2.58","0.4","86.67","21.67","81.82","24.78","2.78","89.93","13.28","0.99","93.06","2.38","0.2","92.31","17.91","80.00","48.76","3.77","92.83","23.79","2.38","90.91","0.79","0","100.00","3.33","100.00","11.69","93.75","1.054"
"31","Ottawa Senators","56","5.1774","23","28","5","21","51","0.455","80.71","16.35","83.16","63.74","15.11","80.84","49.05","11.38","81.16","5.59","1.03","84.38","6.03","0.8","88.27","49.25","7.04","87.50","32.49","4.55","87.71","4.55","0.83","84.62","14.01","81.82","21.73","2.9","88.24","16.76","2.48","87.10","2.48","0.62","80.00","14.81","75.00","27.52","4.14","86.93","15.73","2.07","88.37","2.07","0.21","90.91","13.16","90.00","30.21","4.35","87.43","16.35","2.48","86.81","1.03","0.21","83.33","6.33","91.67","11.39","90.91","1.023"
