"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"30","Calvin Pickard","DET","6","16.3","2.7166666666667","22.09","22.09","1.000","0.00","2.99","3.48","3.68","3.68","1.000","0.00","0.86","11.04","11.04","1.000","0.00","1.57","7.36","7.36","1.000","0.00","0.50","0","7.36","29.67","-"
"44","Maxime Lagace","PIT","1","2","2","60","60","1.000","0.00","8.13","10.54","30","30","1.000","0.00","6.99","0","0","-","0.00","0.00","30","30","1.000","0.00","2.03","0","30","33.00","-"
"55","Troy Grosenick","L.A","2","10.316666666667","5.1583333333333","46.53","46.53","1.000","0.00","6.30","7.19","5.82","5.82","1.000","0.00","1.35","34.89","34.89","1.000","0.00","4.96","5.82","5.82","1.000","0.00","0.39","0","11.63","31.00","-"
"92","Veini Vehvilainen","CBJ","1","1.7833333333333","1.7833333333333","33.64","33.64","1.000","0.00","4.56","1.56","0","0","-","0.00","0.00","0","0","-","0.00","0.00","33.64","33.64","1.000","0.00","2.28","0","0","33.00","-"
"51","Anthony Stolarz","ANA","8","37.966666666667","4.7458333333333","52.15","48.99","0.939","3.16","3.91","6.27","17.38","17.38","1.000","0.00","4.05","4.74","4.74","1.000","0.00","0.67","30.03","26.87","0.895","3.16","-1.13","0","9.48","32.85","39.00"
"38","Keith Kinkaid","NYR","9","43.733333333333","4.8592592592593","42.53","39.79","0.935","2.74","3.02","4.95","10.98","9.6","0.875","1.37","1.18","10.98","10.98","1.000","0.00","1.56","20.58","19.21","0.933","1.37","0.02","0","6.86","32.16","16.50"
"90","Collin Delia","CHI","6","24.216666666667","4.0361111111111","69.37","64.42","0.929","4.96","4.45","9.96","17.34","14.87","0.857","2.48","1.56","27.25","27.25","1.000","0.00","3.87","24.78","22.3","0.900","2.48","-0.80","0","9.91","29.18","29.00"
"6","Jaroslav Halak","BOS","19","98.9","5.2052631578947","47.93","44.29","0.924","3.64","2.85","5.39","10.31","9.1","0.882","1.21","1.19","18.81","16.38","0.871","2.43","0.24","18.2","18.2","1.000","0.00","1.23","0.61","3.03","34.24","23.50"
"25","Robin Lehner","VGK","19","80.966666666667","4.2614035087719","54.1","49.65","0.918","4.45","2.88","6.16","13.34","11.86","0.889","1.48","1.62","22.97","20.75","0.903","2.22","1.04","17.04","16.3","0.957","0.74","0.41","0","6.67","30.89","25.33"
"74","Adin Hill","ARI","19","67.333333333333","3.5438596491228","63.27","57.92","0.915","5.35","3.23","6.95","14.26","11.58","0.813","2.67","0.65","16.04","16.04","1.000","0.00","2.28","32.97","30.3","0.919","2.67","-0.44","0","9.8","31.69","16.50"
